config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,execution_dir,execution_time
original,0.96,0.8,"[[ 381   21  118  210]
 [  60   30   25  124]
 [ 232   35 1003  430]
 [ 244   39  409 6444]]",0.97,0.8,0.96,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-original-190536/,397.22662258148193
reduccion_neuronas,0.96,0.77,"[[ 426   16   94  194]
 [  77   25   30  107]
 [ 365   33  926  376]
 [ 465   34  503 6134]]",0.96,0.79,0.96,0.77,2,"[200, 50]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-reduccion_neuronas-191410/,280.03729224205017
dropout_25,0.77,0.66,"[[ 498    7  122  103]
 [ 122   35   42   40]
 [ 425   25  971  279]
 [1123   25 1031 4957]]",0.78,0.77,0.77,0.66,2,"[300, 100]",20,relu,0.25,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_25-192111/,463.7194354534149
dropout_50,0.9,0.79,"[[ 383    8   91  248]
 [  64   25   28  122]
 [ 282   28  975  415]
 [ 375   15  381 6365]]",0.9,0.8,0.9,0.79,2,"[300, 100]",20,relu,0.5,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_50-193110/,463.4949345588684
dropout_75,0.94,0.8,"[[ 378    9  113  230]
 [  52   26   31  130]
 [ 254   24  952  470]
 [ 266   19  325 6526]]",0.94,0.8,0.94,0.8,2,"[300, 100]",20,relu,0.75,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_75-194109/,420.74701833724976
dropout_25,0.84,0.76,"[[ 395    5  112  218]
 [  71   21   33  114]
 [ 296   11  954  439]
 [ 501    6  522 6107]]",0.84,0.78,0.84,0.76,2,"[300, 100]",30,relu,0.25,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_25-195504/,632.0898883342743
dropout_50,0.94,0.79,"[[ 424    6  106  194]
 [  69   18   39  113]
 [ 316    9  972  403]
 [ 379    4  406 6347]]",0.94,0.8,0.94,0.79,2,"[300, 100]",30,relu,0.5,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_50-200752/,679.966628074646
ampliacion_capa,0.99,0.8,"[[ 262    7   85  376]
 [  32   18   16  173]
 [ 148   18  792  742]
 [ 109    9  211 6807]]",0.99,0.78,0.99,0.8,3,"[300, 100, 100]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-ampliacion_capa-202128/,367.6106071472168
dropout_25,0.9,0.81,"[[ 400    5   99  226]
 [  61   23   26  129]
 [ 274   10  989  427]
 [ 248    3  364 6521]]",0.9,0.81,0.9,0.81,2,"[300, 100]",30,relu,0.25,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_25-203450/,650.0103130340576
dropout_50,0.98,0.83,"[[ 354    4  105  267]
 [  52   23   25  139]
 [ 189    9 1014  488]
 [ 137    4  237 6758]]",0.98,0.82,0.98,0.83,2,"[300, 100]",30,relu,0.5,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-dropout_50-204742/,582.0725424289703
ampliacion_capa_2,0.98,0.8,"[[ 295    6   57  372]
 [  32   21   10  176]
 [ 175   12  769  744]
 [ 176   10  166 6784]]",0.98,0.79,0.98,0.8,3,"[150, 100, 50]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-ampliacion_capa_2-205930/,232.12187123298645
l2_scale_0.001,0.96,0.78,"[[ 398   16  133  183]
 [  60   29   50  100]
 [ 275   44 1080  301]
 [ 433   41  540 6122]]",0.96,0.8,0.96,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-l2_scale_0.001-211702/,380.78250217437744
l2_scale_0.01,0.87,0.78,"[[ 400   22  105  203]
 [  49   42   28  120]
 [ 262   56  951  431]
 [ 417   61  452 6206]]",0.87,0.79,0.87,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-l2_scale_0.01-212526/,378.31599140167236
l2_scale_0.25,0.25,0.02,"[[   0  730    0    0]
 [   0  239    0    0]
 [   0 1700    0    0]
 [   0 7136    0    0]]",0.06,0.0,0.25,0.02,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-22/20180522/run-FNNClassifier-l2_scale_0.25-213349/,351.4200551509857
