config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,execution_dir,execution_time
original,0.96,0.79,"[[ 404   19  105  202]
 [  63   32   27  117]
 [ 318   56  905  421]
 [ 375   68  334 6359]]",0.96,0.8,0.96,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-original-113406/,412.1702756881714
dropout_hidden_layers,0.9,0.77,"[[ 440    7  104  179]
 [  71   26   20  122]
 [ 378   17  897  408]
 [ 507   19  391 6219]]",0.9,0.8,0.9,0.77,2,"[300, 100]",20,relu,0.5,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers-114242/,369.9160530567169
dropout_hidden_layers,0.92,0.79,"[[ 454    6   73  197]
 [  71   20   18  130]
 [ 370   17  847  466]
 [ 362   10  293 6471]]",0.92,0.8,0.92,0.79,2,"[500, 250]",20,relu,0.5,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers-115037/,687.8926665782928
dropout_hidden_layers,0.9,0.79,"[[ 418    2  118  192]
 [  72   15   51  101]
 [ 254    9 1019  418]
 [ 402    1  433 6300]]",0.91,0.8,0.9,0.79,3,"[250, 100, 50]",20,relu,0.5,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers-120351/,380.0890214443207
dropout_hidden_layers,0.88,0.76,"[[ 438    2  134  156]
 [  87   17   55   80]
 [ 330   14  976  380]
 [ 532    3  547 6054]]",0.87,0.79,0.87,0.76,4,"[150, 125, 100, 75]",20,relu,0.5,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers-121158/,356.2135879993439
original,0.97,0.79,"[[ 411   11  117  191]
 [  65   19   31  124]
 [ 292   33  938  437]
 [ 403   28  365 6340]]",0.97,0.79,0.97,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-original-122642/,370.6256093978882
original,0.96,0.79,"[[ 386   23  105  216]
 [  67   30   36  106]
 [ 309   68  927  396]
 [ 409   56  293 6378]]",0.96,0.8,0.96,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-original-124048/,407.88725566864014
dropout_hidden_layers,0.75,0.6,"[[ 389   18  269   54]
 [  75   22  113   29]
 [ 602   39  800  259]
 [ 654   24 1793 4665]]",0.75,0.75,0.75,0.6,5,"[125, 100, 100, 75, 50]",20,relu,0.5,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers-124922/,305.444447517395
dropout_hidden_layers_25,0.94,0.79,"[[ 426    6   89  209]
 [  67   26   22  124]
 [ 328   24  914  434]
 [ 377   24  367 6368]]",0.94,0.8,0.94,0.79,2,"[300, 100]",20,relu,0.75,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers_25-125610/,406.6623456478119
dropout_hidden_layers_25,0.94,0.81,"[[ 358    4  135  233]
 [  42   20   47  130]
 [ 223   16 1081  380]
 [ 276   11  405 6444]]",0.94,0.8,0.94,0.81,2,"[500, 250]",20,relu,0.75,0.0,False,fnnLogs/05-20/20180520/run-FNNClassifier-dropout_hidden_layers_25-130442/,680.4227163791656
