config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,execution_dir,execution_time
original,0.89,0.79,"[[ 326   35  151  218]
 [  40   40   35  124]
 [ 222   56 1041  381]
 [ 211  107  457 6361]]",0.89,0.8,0.89,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-original-200318/,435.3869380950928
l2_scale_0.001,0.87,0.79,"[[ 301   56  146  227]
 [  37   59   39  104]
 [ 221   88 1022  369]
 [ 247  151  410 6328]]",0.88,0.8,0.87,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.001-201218/,407.97094202041626
l2_scale_0.01,0.78,0.73,"[[ 409   51  140  130]
 [  82   62   31   64]
 [ 333   90  970  307]
 [ 673  174  617 5672]]",0.79,0.79,0.78,0.73,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.01-202053/,404.2092671394348
l2_scale_0.02,0.59,0.43,"[[ 497   43   99   91]
 [ 148   49   11   31]
 [ 449   94  718  439]
 [2687  304 1227 2918]]",0.6,0.68,0.59,0.43,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.02-202922/,405.92624950408936
l2_scale_0.05,0.42,0.25,"[[ 229  207  223   71]
 [  64   89   47   39]
 [ 189  179 1206  126]
 [1157  787 4285  907]]",0.39,0.63,0.42,0.25,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.05-203753/,402.9177985191345
ampliacion_capa,0.9,0.81,"[[ 197   25  202  306]
 [  12   34   37  156]
 [  95   21 1018  566]
 [  60   38  354 6684]]",0.92,0.79,0.9,0.81,3,"[300, 100, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-ampliacion_capa-204622/,412.8267378807068
ampliacion_capa_2,0.92,0.75,"[[ 249   62  249  170]
 [  11   49   84   95]
 [ 117   59 1265  259]
 [ 143   97 1091 5805]]",0.92,0.79,0.92,0.75,3,"[150, 100, 50]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-ampliacion_capa_2-205501/,327.39864134788513
original,0.89,0.8,"[[ 277   53  120  280]
 [  25   48   23  143]
 [ 193   73  904  530]
 [ 147  104  285 6600]]",0.89,0.79,0.89,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-original-213417/,429.5993916988373
l2_scale_0.001,0.88,0.8,"[[ 325   36  124  245]
 [  48   39   24  128]
 [ 256   54  958  432]
 [ 238   76  345 6477]]",0.88,0.79,0.88,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.001-214308/,443.58445596694946
l2_scale_0.01,0.77,0.72,"[[ 381   53  142  154]
 [  74   58   36   71]
 [ 266   79 1013  342]
 [ 631  142  723 5640]]",0.78,0.78,0.77,0.72,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.01-215215/,397.58193349838257
original,0.9,0.8,"[[ 273   27  142  288]
 [  18   35   32  154]
 [ 179   38  944  539]
 [ 136   49  326 6625]]",0.9,0.79,0.9,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-original-220518/,427.1123878955841
l2_scale_0.01,0.64,0.63,"[[ 388  101  120  121]
 [ 123   63   13   40]
 [ 379  155  822  344]
 [1378  212  659 4887]]",0.65,0.76,0.64,0.63,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.01-221845/,399.83580112457275
l2_scale_0.02,0.39,0.16,"[[  69  440  213    8]
 [  39  153   46    1]
 [ 129  355 1199   17]
 [ 859 1916 4175  186]]",0.34,0.68,0.39,0.16,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-23/20180523/run-FNNClassifier-l2_scale_0.02-222703/,447.4295835494995
