activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,execution_time,execution_dir
relu,l2_scale_0.005_momentum,"[300, 100]",2,momentum,0.001,1,20,0.87,0.75,0.87,0.79,0.87,0.75,"[[ 426   29  102  173]
 [  67   49   25   98]
 [ 349   70  962  319]
 [ 619   71  569 5877]]",2,1.0,0.005,345.84506011009216,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-l2_scale_0.005_momentum-183829/
relu,base_arquitecture,"[300, 100]",2,GD,0.01,1,20,0.96,0.84,0.97,0.86,0.96,0.84,"[[ 523   45  207   69]
 [  33   90   59   23]
 [ 251   47 1507  233]
 [ 248   43  500 7057]]",2,1.0,0.0,344.09863901138306,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture-184624/
relu,dynamic_learning_rate_0.01_0.95,"[300, 100]",2,GD,0.01,0.95,20,0.92,0.79,0.92,0.84,0.92,0.79,"[[ 607   49  139   49]
 [  56  102   30   17]
 [ 396   67 1368  207]
 [ 540   64  693 6551]]",2,1.0,0.0,387.6770603656769,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.01_0.95-185424/
relu,dynamic_learning_rate_0.01_0.90,"[300, 100]",2,GD,0.01,0.9,20,0.83,0.69,0.83,0.78,0.83,0.69,"[[ 524  115  112   93]
 [  45  106   26   28]
 [ 361  109 1251  317]
 [ 883  161 1150 5654]]",2,1.0,0.0,385.70203590393066,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.01_0.90-190309/
relu,dynamic_learning_rate_0.05_0.95,"[300, 100]",2,GD,0.05,0.95,20,1.0,0.88,1.0,0.88,1.0,0.88,"[[ 546   18  183   97]
 [  38   76   68   23]
 [ 273   20 1478  267]
 [ 134   18  224 7472]]",2,1.0,0.0,347.5074920654297,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.05_0.95-191147/
relu,dynamic_learning_rate_0.05_0.90,"[300, 100]",2,GD,0.05,0.9,20,1.0,0.86,1.0,0.87,1.0,0.86,"[[ 537   29  185   93]
 [  40   75   70   20]
 [ 233   36 1494  275]
 [ 156   18  336 7338]]",2,1.0,0.0,345.63418102264404,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-dynamic_learning_rate_0.05_0.90-191946/
relu,momentum_0.005,"[300, 100]",2,momentum,0.005,1,20,0.99,0.86,0.99,0.87,0.99,0.86,"[[ 619   19  153   53]
 [  56   66   65   18]
 [ 327   27 1489  195]
 [ 254   18  388 7188]]",2,1.0,0.0,389.516676902771,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-momentum_0.005-192746/
relu,momentum_0.001,"[300, 100]",2,momentum,0.001,1,20,0.97,0.84,0.97,0.86,0.97,0.84,"[[ 550   52  183   59]
 [  39  101   53   12]
 [ 298   53 1514  173]
 [ 308   44  517 6979]]",2,1.0,0.0,388.9454905986786,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-momentum_0.001-193628/
relu,base_arquitecture_early_stopping_2_momentum,"[300, 100]",2,momentum,0.001,1,17,0.96,0.83,0.96,0.86,0.96,0.83,"[[ 596   33  153   62]
 [  47   92   45   21]
 [ 331   41 1417  249]
 [ 353   38  465 6992]]",2,1.0,0.0,335.26251125335693,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_2_momentum-194512/
relu,base_arquitecture_early_stopping_1.5_momentum,"[300, 100]",2,momentum,0.001,1,19,0.96,0.84,0.96,0.86,0.96,0.84,"[[ 635   30  115   64]
 [  61   85   37   22]
 [ 425   25 1307  281]
 [ 328   30  309 7181]]",1.5,1.0,0.0,376.1553781032562,fnnLogs/06-26_RESULTADOS_ARQUITECTURA_1_/20180626/run-FNNClassifier-base_arquitecture_early_stopping_1.5_momentum-195302/
