config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,early_stopping_patience,execution_dir,execution_time
DEFAULT,0.97,0.79,"[[ 411   12  100  207]
 [  68   25   35  111]
 [ 331   37  948  384]
 [ 389   33  359 6355]]",0.97,0.8,0.97,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_experimentacion_FNN_2_pruebas_/20180624/run-FNNClassifier-DEFAULT-084133/,315.15935611724854
base_arquitecture,0.99,0.78,"[[ 343   18  144  225]
 [  57   31   43  108]
 [ 258   32  968  442]
 [ 339   48  446 6303]]",0.99,0.78,0.99,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_experimentacion_FNN_2_pruebas_/20180624/run-FNNClassifier-base_arquitecture-091941/,374.7451856136322
base_arquitecture,0.8,0.65,"[[ 568   45   51   66]
 [ 117   73   11   38]
 [ 606  204  690  200]
 [1366  301  473 4996]]",0.82,0.8,0.8,0.65,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_experimentacion_FNN_2_pruebas_/20180624/run-FNNClassifier-base_arquitecture-100134/,352.4895963668823
l2_scale_ADAM_0.001,0.84,0.73,"[[ 446   29   73  182]
 [  70   51   15  103]
 [ 348  116  671  565]
 [ 630  143  389 5974]]",0.84,0.76,0.84,0.73,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_experimentacion_FNN_2_pruebas_/20180624/run-FNNClassifier-l2_scale_ADAM_0.001-102029/,343.7153434753418
dropout_35_ADAM,0.25,0.02,"[[   0  730    0    0]
 [   0  239    0    0]
 [   0 1700    0    0]
 [   0 7136    0    0]]",0.06,0.0,0.25,0.02,2,"[300, 100]",20,relu,0.35,0.0,False,2,fnnLogs/06-24_experimentacion_FNN_2_pruebas_/20180624/run-FNNClassifier-dropout_35_ADAM-102814/,432.23982548713684
base_arquitecture,0.98,0.77,"[[ 384   21  152  173]
 [  54   28   59   98]
 [ 250   31 1031  388]
 [ 404   72  597 6063]]",0.98,0.78,0.98,0.77,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture-110528/,366.7416207790375
reduccion_neuronas,0.99,0.8,"[[ 431   16  118  165]
 [  49   36   46  108]
 [ 265   39  932  464]
 [ 336   42  352 6406]]",0.99,0.8,0.99,0.8,2,"[200, 50]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-reduccion_neuronas-111340/,277.6509208679199
base_arquitecture_0.001,1.0,0.83,"[[ 300    3  151  276]
 [  32   27   43  137]
 [ 138   12 1113  437]
 [ 123   13  350 6650]]",1.0,0.81,1.0,0.83,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.001-112258/,333.6079502105713
base_arquitecture_0.01,0.99,0.79,"[[ 348   11  139  232]
 [  60   24   40  115]
 [ 181   30 1027  462]
 [ 280   38  438 6380]]",0.99,0.79,0.99,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.01-113035/,364.9570758342743
base_arquitecture_0.05,0.83,0.55,"[[ 275   56  215  184]
 [  69   36   84   50]
 [ 324  108  967  301]
 [1219  317 1519 4081]]",0.84,0.72,0.83,0.55,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.05-113843/,331.2469551563263
base_arquitecture_0.009,0.99,0.8,"[[ 321   10  119  280]
 [  42   21   21  155]
 [ 142   32  926  600]
 [ 184   37  370 6545]]",0.99,0.78,0.99,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.009-115013/,332.9208607673645
base_arquitecture_0.005,0.99,0.81,"[[ 284   14  129  303]
 [  33   34   25  147]
 [ 137   29  998  536]
 [  96   38  353 6649]]",0.99,0.79,0.99,0.81,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.005-115747/,336.2029552459717
base_arquitecture_0.0001,1.0,0.81,"[[ 361    2  146  221]
 [  54   20   49  116]
 [ 198   22 1085  395]
 [ 223   16  397 6500]]",1.0,0.81,1.0,0.81,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.0001-120525/,368.2807583808899
base_arquitecture_0.001_epsilon,0.55,0.32,"[[ 492   60  101   77]
 [ 134   59   14   32]
 [ 478  116  896  210]
 [2508  556 2333 1739]]",0.53,0.67,0.55,0.32,2,"[300, 100]",20,relu,1.0,0.0,False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.001_epsilon-121646/,376.5171682834625
base_arquitecture_0.001_epsilon,0.25,0.07,"[[ 730    0    0    0]
 [ 239    0    0    0]
 [1700    0    0    0]
 [7136    0    0    0]]",0.06,0.01,0.25,0.07,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.001_epsilon-125716/,339.84265542030334
base_arquitecture_0.001_epsilon,1.0,0.82,"[[ 348    6   95  281]
 [  46   26   21  146]
 [ 192   22  913  573]
 [ 156   12  244 6724]]",1.0,0.8,1.0,0.82,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.001_epsilon-152257/,354.0010418891907
base_arquitecture_0.01,1.0,0.83,"[[ 331    6  114  279]
 [  39   27   42  131]
 [ 134   19  996  551]
 [ 110   21  238 6767]]",1.0,0.81,1.0,0.83,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_0.01-155050/,355.3866283893585
base_arquitecture_decay_0.005,0.79,0.63,"[[ 401   49   76  204]
 [  97   51   12   79]
 [ 426   95  799  380]
 [1244  209  716 4967]]",0.79,0.75,0.79,0.63,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.005-160504/,325.2273633480072
base_arquitecture_decay_0.01,0.93,0.77,"[[ 378   13  108  231]
 [  55   25   32  127]
 [ 248   40  931  481]
 [ 450   28  475 6183]]",0.93,0.78,0.93,0.77,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.01-161232/,360.0813546180725
base_arquitecture_decay_0.05,1.0,0.82,"[[ 362   10  112  246]
 [  42   28   45  124]
 [ 211   18  989  482]
 [ 158   13  284 6681]]",1.0,0.81,1.0,0.82,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05-162035/,321.7305443286896
base_arquitecture_decay_0.01,0.84,0.67,"[[ 414   28   90  198]
 [  74   39   21  105]
 [ 402   60  827  411]
 [1063   83  682 5308]]",0.84,0.75,0.84,0.67,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.01-163455/,321.95281887054443
base_arquitecture_decay_0.05,0.99,0.81,"[[ 366   16   90  258]
 [  54   26   22  137]
 [ 243   34  971  452]
 [ 243   54  279 6560]]",0.99,0.8,0.99,0.81,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05-164220/,358.28697323799133
base_arquitecture_decay_0.01_ADAM,1.0,0.81,"[[ 275   10   81  364]
 [  38   30   32  139]
 [ 176   28  891  605]
 [ 132   30  272 6702]]",1.0,0.79,1.0,0.81,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.01_ADAM-165023/,336.51021432876587
base_arquitecture_decay_0.05_ADAM,0.58,0.25,"[[ 263   88  246  133]
 [  37   70   93   39]
 [ 371  224  757  348]
 [1846 1022 2950 1318]]",0.55,0.56,0.58,0.25,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05_ADAM-165803/,338.07050251960754
base_arquitecture_decay_0.05_ADAM,1.0,0.82,"[[ 318   11  114  287]
 [  26   28   35  150]
 [ 157   21  991  531]
 [ 130   13  256 6737]]",1.0,0.81,1.0,0.82,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05_ADAM-171043/,377.5426616668701
base_arquitecture_decay_0.05_ADAM,1.0,0.81,"[[ 255   10   83  382]
 [  19   29   18  173]
 [ 101   20  829  750]
 [  98   16  177 6845]]",1.0,0.79,1.0,0.81,2,"[300, 100]",20,relu,1.0,"Tensor(""mul_19:0"", shape=(), dtype=float32)",False,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05_ADAM-173948/,338.0589714050293
base_arquitecture_decay_0.03_ADAM,0.95,0.73,"[[ 370   24  113  223]
 [  64   25   14  136]
 [ 279   38  874  509]
 [ 545  135  578 5878]]",0.95,0.75,0.95,0.73,2,"[300, 100]",20,relu,1.0,0.03,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.03_ADAM-182752/,376.42515993118286,ADAM,1
base_arquitecture_decay_0.05_ADAM,0.9,0.62,"[[ 362   45  125  198]
 [  69   33   35  102]
 [ 399   77  742  482]
 [1027  219  995 4895]]",0.9,0.71,0.9,0.62,2,"[300, 100]",20,relu,1.0,0.05,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.05_ADAM-183610/,375.4538013935089,ADAM,1
base_arquitecture_decay_0.01_ADAM,0.99,0.8,"[[ 344   16  180  190]
 [  59   35   55   90]
 [ 199   34 1164  303]
 [ 197   45  619 6275]]",0.99,0.8,0.99,0.8,2,"[300, 100]",20,relu,1.0,0.01,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.01_ADAM-184441/,377.5224783420563,ADAM,1
base_arquitecture_decay_0.015_ADAM,0.98,0.78,"[[ 286   15  154  275]
 [  28   26   62  123]
 [ 171   60 1005  464]
 [ 234   46  511 6345]]",0.98,0.78,0.98,0.78,2,"[300, 100]",20,relu,1.0,0.015,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-base_arquitecture_decay_0.015_ADAM-185301/,337.2193796634674,ADAM,1
momentum_0.01,0.97,0.78,"[[ 390   12  102  226]
 [  71   29   33  106]
 [ 352   24  952  372]
 [ 407   33  396 6300]]",0.97,0.8,0.97,0.78,2,"[300, 100]",20,relu,1.0,0.01,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-momentum_0.01-192026/,355.7825245857239,momentum,1
momentum_0.05,1.0,0.81,"[[ 357    7  106  260]
 [  55   22   37  125]
 [ 199   19  979  503]
 [ 234    9  292 6601]]",1.0,0.8,1.0,0.81,2,"[300, 100]",20,relu,1.0,0.05,,2,fnnLogs/06-24_PRUEBAS_ADAM_/20180624/run-FNNClassifier-momentum_0.05-192827/,318.5780498981476,momentum,1
