config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,execution_dir,execution_time
neurons,0.97,0.78,"[[ 365   14  146  205]
 [  66   22   47  104]
 [ 279   33  990  398]
 [ 379   26  461 6270]]",0.97,0.79,0.97,0.78,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-neurons-124710/,471.92442083358765
dropout,0.41,0.22,"[[ 190  294  162   84]
 [  23  177   25   14]
 [ 132  462  999  107]
 [ 749 2258 3301  828]]",0.39,0.64,0.41,0.22,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-125701/,473.39351058006287
dropout,0.64,0.52,"[[ 472  119  115   24]
 [  78  121   25   15]
 [ 413  300  915   72]
 [1585  583 1331 3637]]",0.64,0.79,0.64,0.52,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-130651/,471.76577854156494
dropout,0.83,0.74,"[[ 501   36  113   80]
 [  81   68   27   63]
 [ 441   89 1003  167]
 [ 710  116  620 5690]]",0.83,0.82,0.83,0.74,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-131636/,512.7813827991486
neurons,0.97,0.8,"[[ 342   11  143  234]
 [  58   23   28  130]
 [ 228   28 1022  422]
 [ 261   25  401 6449]]",0.97,0.79,0.97,0.8,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-neurons-133805/,427.20915150642395
dropout,0.78,0.66,"[[ 516   12   86  116]
 [ 114   37   32   56]
 [ 520   30  863  287]
 [1324   27  743 5042]]",0.78,0.78,0.78,0.66,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-134707/,387.82237434387207
dropout,0.9,0.77,"[[ 450   12   89  179]
 [  73   32   21  113]
 [ 388   32  900  380]
 [ 511   21  409 6195]]",0.9,0.8,0.9,0.77,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-135531/,430.07779836654663
dropout,0.94,0.79,"[[ 416   10  106  198]
 [  50   22   27  140]
 [ 279   17  961  443]
 [ 356   11  426 6343]]",0.94,0.79,0.94,0.79,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-140436/,427.963538646698
dropout,0.87,0.78,"[[ 362    4  117  247]
 [  52   17   25  145]
 [ 274   14  942  470]
 [ 332    9  436 6359]]",0.87,0.78,0.87,0.78,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-154741/,367.3351318836212
dropout,0.92,0.79,"[[ 450    8   82  190]
 [  66   22   20  131]
 [ 356   20  920  404]
 [ 451   11  355 6319]]",0.92,0.8,0.92,0.79,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-155541/,405.14762234687805
dropout,0.95,0.79,"[[ 394   10  106  220]
 [  58   24   28  129]
 [ 276   24  987  413]
 [ 366   18  376 6376]]",0.95,0.8,0.95,0.79,2,"[300, 100]",20,relu,fnnLogs05-19/20180519/run-FNNClassifier-dropout-160422/,370.8013882637024
neurons,0.97,0.8,"[[ 316   19  123  272]
 [  31   29   30  149]
 [ 149   51  935  565]
 [ 221   39  354 6522]]",0.97,0.78,0.97,0.8,2,"[300, 100]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-neurons-165016/,366.3641619682312
architecture_shallow,0.97,0.8,"[[ 372   13   96  249]
 [  64   25   22  128]
 [ 252   35  930  483]
 [ 288   23  319 6506]]",0.97,0.8,0.97,0.8,2,"[500, 250]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-architecture_shallow-165821/,679.221351146698
architecture_deep,0.99,0.79,"[[ 306    8  106  310]
 [  36   15   33  155]
 [ 165   22  877  636]
 [ 195   27  343 6571]]",0.99,0.77,0.99,0.79,4,"[100, 100, 100, 100]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-architecture_deep-171141/,233.5026249885559
architecture_deep,0.99,0.79,"[[ 311   15  123  281]
 [  41   23   44  131]
 [ 187   34  971  508]
 [ 223   24  403 6486]]",0.99,0.78,0.99,0.79,4,"[150, 125, 100, 75]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-architecture_deep-171733/,282.849326133728
architecture_deep,0.93,0.8,"[[ 179    2  139  410]
 [  15   15   39  170]
 [  52   13  917  718]
 [  78    3  306 6749]]",0.94,0.78,0.93,0.8,5,"[125, 100, 100, 75, 50]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-architecture_deep-172413/,263.14747619628906
architecture_deep,0.99,0.79,"[[ 359    4  107  260]
 [  48   21   19  151]
 [ 213   20  889  578]
 [ 251    2  359 6524]]",0.99,0.79,0.99,0.79,5,"[100, 75, 50, 50, 25]",20,relu,fnnLogs05-19_architecture/20180519/run-FNNClassifier-architecture_deep-173033/,213.3225200176239
