config_tag,train_accuracy,test_accuracy,confusion_matrix,precision_train,precision_test,recall_train,recall_test,n_layers,hidden_neurons,epochs,activation_function,dropout_rate,learning_rate,learning_decrease,execution_dir,execution_time
original,0.9,0.8,"[[ 275   35  171  249]
 [  22   44   48  125]
 [ 192   47  989  472]
 [ 141   80  396 6519]]",0.9,0.79,0.9,0.8,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-original-174443/,332.17460203170776
l2_scale_0.01,0.65,0.66,"[[ 353   56  146  175]
 [ 111   46   27   55]
 [ 333   69  932  366]
 [1062   99  791 5184]]",0.66,0.76,0.65,0.66,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.01-175142/,369.4203519821167
l2_scale_0.015,0.4,0.16,"[[ 255  315  150   10]
 [  94  115   27    3]
 [ 383  269 1011   37]
 [2509 1266 3161  200]]",0.37,0.63,0.4,0.16,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.015-175918/,368.4865436553955
original,0.89,0.81,"[[ 259   38  127  306]
 [  25   39   31  144]
 [ 152   55  936  557]
 [ 106   51  275 6704]]",0.89,0.79,0.89,0.81,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-original-180955/,324.4471673965454
l2_scale_0.001,0.91,0.78,"[[ 345   70   92  223]
 [  22   77   14  126]
 [ 293  148  825  434]
 [ 214  252  274 6396]]",0.91,0.8,0.91,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.001-181653/,342.6496343612671
l2_scale_0.002,0.87,0.78,"[[ 262   66  207  195]
 [  21   69   47  102]
 [ 145   80 1218  257]
 [ 178  178  699 6081]]",0.88,0.8,0.87,0.78,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.002-182359/,337.68116211891174
l2_scale_0.005,0.8,0.66,"[[ 459   71  134   66]
 [ 100   68   33   38]
 [ 459  100 1034  107]
 [1096  285  855 4900]]",0.81,0.8,0.8,0.66,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.005-183102/,337.3597266674042
l2_scale_0.007,0.77,0.79,"[[ 330   47  116  237]
 [  51   52   25  111]
 [ 228   65  915  492]
 [ 299   88  346 6403]]",0.78,0.79,0.77,0.79,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-l2_scale_0.007-183804/,372.71693205833435
ampliando_batch,0.9,0.81,"[[ 257   25  148  300]
 [  31   33   38  137]
 [ 156   38  987  519]
 [ 126   45  332 6633]]",0.9,0.79,0.9,0.81,2,"[300, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliando_batch-184543/,353.71083641052246
dropout_25,0.84,0.78,"[[ 340   36  183  171]
 [  46   47   64   82]
 [ 234   66 1094  306]
 [ 224   92  700 6120]]",0.84,0.79,0.84,0.78,2,"[300, 100]",30,relu,0.25,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-dropout_25-190847/,637.082624912262
dropout_35,0.89,0.77,"[[ 313   26  204  187]
 [  27   36   73  103]
 [ 209   61 1125  305]
 [ 204  108  714 6110]]",0.89,0.79,0.89,0.77,2,"[300, 100]",30,relu,0.35,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-dropout_35-192050/,568.6240036487579
dropout_50,0.93,0.77,"[[ 311   23  196  200]
 [  24   33   62  120]
 [ 199   58 1129  314]
 [ 223  119  679 6115]]",0.93,0.79,0.93,0.77,2,"[300, 100]",30,relu,0.5,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-dropout_50-193139/,561.8492052555084
ampliacion_capa,0.92,0.78,"[[ 339   27  153  211]
 [  30   48   38  123]
 [ 309   64  967  360]
 [ 254  109  500 6273]]",0.93,0.79,0.92,0.78,3,"[300, 100, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa-194225/,339.06310534477234
ampliacion_capa_2,0.97,0.79,"[[ 266    7  202  255]
 [  21   21   73  124]
 [ 146   32 1126  396]
 [ 121   34  630 6351]]",0.97,0.79,0.97,0.79,4,"[300, 100, 100, 50]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_2-194923/,381.2143819332123
ampliacion_capa,0.95,0.79,"[[ 296   36  159  239]
 [  24   47   52  116]
 [ 173   63 1040  424]
 [ 177  101  451 6407]]",0.95,0.79,0.95,0.79,3,"[300, 100, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa-200234/,369.16211557388306
ampliacion_capa_2,0.96,0.8,"[[ 240    7  210  273]
 [  25   22   51  141]
 [ 140   21 1122  417]
 [ 126   17  485 6508]]",0.96,0.79,0.96,0.8,4,"[300, 100, 100, 50]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_2-201010/,368.00351667404175
ampliacion_capa_dropout,0.78,0.7,"[[ 329  121  164  116]
 [  47   94   52   46]
 [ 284  239  987  190]
 [ 440  375  875 5446]]",0.78,0.79,0.78,0.7,3,"[300, 100, 100]",20,relu,0.25,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_dropout-201739/,448.88171768188477
ampliacion_capa_l2_scale,0.9,0.79,"[[ 154   17  330  229]
 [  10   28   80  121]
 [  84   23 1273  320]
 [  59   19  800 6258]]",0.92,0.79,0.9,0.79,3,"[300, 100, 100]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_l2_scale-202631/,354.84302711486816
ampliacion_capa_2_dropout,0.55,0.77,"[[  22   16  412  280]
 [  12   14  111  102]
 [  30   14 1087  569]
 [   7    6  675 6448]]",0.55,0.75,0.55,0.77,4,"[300, 100, 100, 50]",20,relu,0.25,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_2_dropout-203348/,449.1730988025665
ampliacion_capa_2_l2_scale,0.95,0.8,"[[ 203    9  267  251]
 [  14   24   71  130]
 [ 106   31 1170  393]
 [  55   45  602 6434]]",0.96,0.79,0.95,0.8,4,"[300, 100, 100, 50]",20,relu,1.0,0.0,False,fnnLogs/05-25/20180525/run-FNNClassifier-ampliacion_capa_2_l2_scale-204242/,365.050518989563
