activation_function,config_tag,hidden_neurons,n_layers,optimizer,learning_rate,learning_decrease_base,epochs,train_accuracy,test_accuracy,precision_train,precision_test,recall_train,recall_test,confusion_matrix,early_stopping_patience,dropout_rate,l2_regularization,momentumexecution_time,execution_dir
relu,dropout_35_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.84,0.75,0.84,0.78,0.84,0.75,"[[ 426    3  107  194]
 [  82   20   25  112]
 [ 283   11  929  477]
 [ 560    1  602 5973]]",2,0.35,0.0,True,519.2963030338287,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_35_momentum_nesterov-101841/
relu,dropout_50_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.93,0.81,0.93,0.8,0.93,0.81,"[[ 362    4   96  268]
 [  62   17   41  119]
 [ 218    5  988  489]
 [ 244    3  353 6536]]",2,0.5,0.0,True,524.2736213207245,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dropout_50_momentum_nesterov-102935/
relu,l2_scale_0.001_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.99,0.8,0.99,0.8,0.99,0.8,"[[ 381    4   76  269]
 [  65   18   22  134]
 [ 298   18  916  468]
 [ 312   18  277 6529]]",2,1.0,0.001,True,441.92212891578674,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.001_momentum_nesterov-104036/
relu,l2_scale_0.002_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.99,0.79,0.99,0.8,0.99,0.79,"[[ 358    4  136  232]
 [  64   22   48  105]
 [ 240   26 1085  349]
 [ 346    7  500 6283]]",2,1.0,0.002,True,440.3628590106964,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.002_momentum_nesterov-105015/
relu,l2_scale_0.005_momentum_nesterov,"[300, 150, 100]",3,momentum,0.001,1,20,0.96,0.76,0.96,0.79,0.96,0.76,"[[ 407    6  133  184]
 [  78   23   58   80]
 [ 275   26 1085  314]
 [ 501   10  702 5923]]",2,1.0,0.005,True,439.42714190483093,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-l2_scale_0.005_momentum_nesterov-105950/
relu,base_arquitecture,"[300, 150, 100]",3,GD,0.01,1,20,0.99,0.85,0.99,0.87,0.99,0.85,"[[ 596   25  154   69]
 [  51   82   47   25]
 [ 370   26 1400  242]
 [ 261    9  310 7268]]",2,1.0,0.0,,398.369802236557,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-base_arquitecture-110927/
relu,dynamic_learning_rate_0.01_0.95,"[300, 150, 100]",3,GD,0.01,0.95,20,0.99,0.85,0.99,0.86,0.99,0.85,"[[ 526   40  180   98]
 [  42   90   57   16]
 [ 256   29 1450  303]
 [ 225   28  361 7234]]",2,1.0,0.0,,400.72487139701843,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.01_0.95-111823/
relu,dynamic_learning_rate_0.01_0.90,"[300, 150, 100]",3,GD,0.01,0.9,20,0.96,0.83,0.96,0.84,0.96,0.83,"[[ 549   31  159  105]
 [  54   76   40   35]
 [ 303   44 1362  329]
 [ 318   27  457 7046]]",2,1.0,0.0,,398.42692160606384,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.01_0.90-112722/
relu,dynamic_learning_rate_0.05_0.95,"[300, 150, 100]",3,GD,0.05,0.95,20,1.0,0.88,1.0,0.88,1.0,0.88,"[[ 531   18  179  116]
 [  32   74   62   37]
 [ 197   17 1483  341]
 [  93    7  159 7589]]",2,1.0,0.0,,400.2295711040497,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.05_0.95-113618/
relu,dynamic_learning_rate_0.05_0.90,"[300, 150, 100]",3,GD,0.05,0.9,20,1.0,0.88,1.0,0.88,1.0,0.88,"[[ 507   23  228   86]
 [  33   77   75   20]
 [ 203   13 1599  223]
 [ 120   11  301 7416]]",2,1.0,0.0,,398.4754407405853,fnnLogs/06-27_RESULTADOS_ARQUITECTURA_3_CAPAS_/20180627/run-FNNClassifier-dynamic_learning_rate_0.05_0.90-114516/
