date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-12 10:30,vector_Average,600,300features_15minwords_10contextALL,0.31,3.37,43.86,1.8,9.92,112.9,39220,9805,MLP,52.24,0.86,0.78,"[[  24    0   85  621]
 [   2    0   11  226]
 [  25    0  641 1034]
 [   8    0  190 6938]]",0.72,0.78,
2018-05-12 10:33,vector_Average,600,300features_15minwords_10contextALL,0.19,3.77,43.7,1.97,9.81,128.95,39220,9805,MLP,68.09,0.85,0.77,"[[   6    0   75  649]
 [   1    0    9  229]
 [   5    0  589 1106]
 [   1    0  155 6980]]",0.72,0.77,
2018-05-12 10:35,vector_Average,600,300features_15minwords_10contextALL,0.19,3.76,43.18,1.97,10.11,151.92,39220,9805,MLP,91.32,0.86,0.78,"[[  10    0   79  641]
 [   2    0   10  227]
 [  10    0  635 1055]
 [   1    0  175 6960]]",0.73,0.78,
2018-05-12 10:40,vector_Average,600,300features_15minwords_10contextALL,0.19,3.85,43.69,1.93,10.02,287.14,39220,9805,MLP,226.07,0.93,0.82,"[[ 246    0  131  353]
 [  40    0   28  171]
 [ 141    0  905  654]
 [  99    0  176 6861]]",0.78,0.82,
2018-05-12 10:46,vector_Average,600,300features_15minwords_10contextALL,0.19,3.67,43.79,2.11,9.88,377.88,39220,9805,MLP,316.84,0.94,0.82,"[[ 228    0  141  361]
 [  38    1   25  175]
 [ 138    0  909  653]
 [  86    0  148 6902]]",0.81,0.82,
2018-05-12 10:49,vector_Average,600,300features_15minwords_10contextALL,0.19,3.79,43.86,2.03,9.81,159.58,39220,9805,MLP,98.52,0.82,0.76,"[[   5    0   60  665]
 [   0    0    9  230]
 [   2    0  508 1190]
 [   0    0  174 6962]]",0.73,0.76,
2018-05-12 10:52,vector_Average,600,300features_15minwords_10contextALL,0.19,3.75,43.53,2.04,9.88,159.61,39220,9805,MLP,98.82,0.74,0.73,"[[   0    0    8  722]
 [   0    0    0  239]
 [   0    0   96 1604]
 [   0    0   87 7049]]",0.62,0.73,
2018-05-12 11:07,vector_Average,600,300features_15minwords_10contextALL,0.31,4.27,44.53,1.94,10.35,114.91,39220,9805,MLP,52.13,0.86,0.78,"[[  17    0   92  621]
 [   2    0   12  225]
 [  14    0  665 1021]
 [   4    0  214 6918]]",0.72,0.78,
2018-05-12 11:09,vector_Average,600,300features_15minwords_10contextALL,0.19,3.54,44.06,1.95,9.88,128.16,39220,9805,MLP,67.13,0.86,0.78,"[[  30    0   86  614]
 [   2    0   12  225]
 [  19    0  644 1037]
 [   7    0  177 6952]]",0.73,0.78,
2018-05-12 11:11,vector_Average,600,300features_15minwords_10contextALL,0.19,3.83,44.02,1.98,10.2,154.8,39220,9805,MLP,93.19,0.84,0.77,"[[   7    0   70  653]
 [   1    0    9  229]
 [   6    0  547 1147]
 [   0    0  148 6988]]",0.72,0.77,
2018-05-12 11:14,vector_Average,600,300features_15minwords_10contextALL,0.19,3.77,44.43,2.01,10.03,174.77,39220,9805,MLP,112.97,0.89,0.8,"[[ 113    0  126  491]
 [  13    0   25  201]
 [  58    0  781  861]
 [  41    0  187 6908]]",0.75,0.8,
2018-05-12 11:18,vector_Average,600,300features_15minwords_10contextALL,0.19,3.94,44.2,1.97,10.06,197.3,39220,9805,MLP,135.53,0.9,0.81,"[[ 203    0  166  361]
 [  36    0   36  167]
 [ 100    0  942  658]
 [  81    0  248 6807]]",0.77,0.81,
2018-05-12 11:21,vector_Average,600,300features_15minwords_10contextALL,0.19,3.98,43.97,1.9,9.87,220.48,39220,9805,MLP,159.19,0.91,0.81,"[[ 143    0  121  466]
 [  18    0   25  196]
 [  76    0  776  848]
 [  37    0  113 6986]]",0.77,0.81,
2018-05-12 11:24,vector_Average,600,300features_15minwords_10contextALL,0.19,3.77,43.75,2.04,9.92,151.11,39220,9805,MLP,90.05,0.85,0.77,"[[   8    0   75  647]
 [   1    0    9  229]
 [  11    0  579 1110]
 [   2    0  153 6981]]",0.72,0.77,
2018-05-12 11:26,vector_Average,600,300features_15minwords_10contextALL,0.19,3.73,44.76,2.14,10.0,163.68,39220,9805,MLP,101.46,0.8,0.76,"[[   4    0   51  675]
 [   0    0    6  233]
 [   1    0  437 1262]
 [   0    0  144 6992]]",0.73,0.76,
2018-05-12 11:29,vector_Average,600,300features_15minwords_10contextALL,0.19,3.96,44.16,1.9,9.88,157.35,39220,9805,MLP,95.85,0.74,0.73,"[[   0    0    7  723]
 [   0    0    0  239]
 [   0    0   86 1614]
 [   0    0   75 7061]]",0.62,0.73,
