date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-17 19:37,bag_Of_Words,600,,,0,5.97,0,1.44,140.48,39220,9805,1,1.0,MLP,113.79,0.96,0.69,"[[ 242   14  123  351]
 [  32   16   39  152]
 [ 141   21  820  718]
 [ 573   40  809 5714]]",0.94,0.92,6.37,0.7,0.69,all
2018-05-17 19:39,bag_Of_Words,600,,,0,5.88,0,1.44,137.57,39220,9805,1,1.0,MLP,112.3,0.96,0.66,"[[ 266   16  172  276]
 [  50   16   82   91]
 [ 222   30  944  504]
 [ 734   72 1080 5250]]",0.95,0.89,6.12,0.71,0.66,all
2018-05-17 19:41,bag_Of_Words,600,,,0,5.81,0,1.44,137.88,39220,9805,1,1.0,MLP,112.89,0.96,0.67,"[[ 275   11  105  339]
 [  42   20   54  123]
 [ 161   20  865  654]
 [ 723   66  954 5393]]",0.95,0.9,6.03,0.7,0.67,all
2018-05-17 19:44,bag_Of_Words,600,,,0,5.82,0,1.44,137.32,39220,9805,1,1.0,MLP,112.4,0.96,0.62,"[[ 300   16  158  256]
 [  62   25   55   97]
 [ 198   45 1009  448]
 [ 869  124 1394 4749]]",0.95,0.88,6.07,0.71,0.62,all
2018-05-17 19:46,bag_Of_Words,600,,,0,5.89,0,1.44,139.85,39220,9805,1,1.0,MLP,114.68,0.96,0.65,"[[ 290   12  148  280]
 [  64   16   58  101]
 [ 181   20  906  593]
 [ 826   77 1114 5119]]",0.95,0.88,6.03,0.7,0.65,all
2018-05-17 19:48,bag_Of_Words,600,,,0,5.85,0,1.44,138.72,39220,9805,1,1.0,MLP,113.74,0.96,0.67,"[[ 263   12  160  295]
 [  51   17   75   96]
 [ 147   19  912  622]
 [ 583   43 1103 5407]]",0.95,0.91,6.09,0.71,0.67,all
2018-05-17 19:51,bag_Of_Words,600,,,0,5.83,0,1.45,139.77,39220,9805,1,1.0,MLP,114.54,0.96,0.63,"[[ 321   18  123  268]
 [  64   16   62   97]
 [ 236   17  938  509]
 [ 932   67 1222 4915]]",0.95,0.86,6.05,0.71,0.63,all
2018-05-17 19:53,bag_Of_Words,600,,,0,5.89,0,1.46,138.36,39220,9805,1,1.0,MLP,113.19,0.96,0.67,"[[ 263   17  112  338]
 [  44   22   55  118]
 [ 122   26  922  630]
 [ 620   70 1117 5329]]",0.95,0.91,6.04,0.7,0.67,all
2018-05-17 19:55,bag_Of_Words,600,,,0,5.96,0,1.45,139.96,39220,9805,1,1.0,MLP,114.31,0.96,0.65,"[[ 272   19  143  296]
 [  55   23   67   94]
 [ 173    9  945  573]
 [ 677   79 1294 5086]]",0.95,0.9,6.07,0.7,0.65,all
2018-05-17 19:57,bag_Of_Words,600,,,0,5.9,0,1.45,139.38,39220,9805,1,1.0,MLP,114.32,0.95,0.67,"[[ 220   13  112  385]
 [  32   11   50  146]
 [ 124   16  898  662]
 [ 472   86 1099 5479]]",0.94,0.93,6.13,0.69,0.67,all
2018-05-17 20:00,bag_Of_Words,600,,,0,5.91,0,1.5,140.76,39220,9805,1,1.0,MLP,114.67,0.96,0.65,"[[ 236   15  130  349]
 [  30   17   72  120]
 [ 120   15  907  658]
 [ 681   54 1190 5211]]",0.94,0.91,6.08,0.69,0.65,all
2018-05-17 20:02,bag_Of_Words,600,,,0,5.88,0,1.45,139.1,39220,9805,1,1.0,MLP,113.84,0.96,0.66,"[[ 263   15  138  314]
 [  45   16   60  118]
 [ 113   12  956  619]
 [ 675   80 1149 5232]]",0.95,0.91,6.11,0.7,0.66,all
2018-05-17 20:04,bag_Of_Words,600,,,0,5.86,0,1.48,138.83,39220,9805,1,1.0,MLP,113.26,0.97,0.63,"[[ 301    7  138  284]
 [  55   16   65  103]
 [ 216   18  973  493]
 [ 800   54 1354 4928]]",0.95,0.88,6.1,0.7,0.63,all
2018-05-17 20:07,bag_Of_Words,600,,,0,6.02,0,1.42,139.69,39220,9805,1,1.0,MLP,114.21,0.96,0.64,"[[ 298   13  174  245]
 [  61   16   80   82]
 [ 191   15  935  559]
 [ 845   63 1206 5022]]",0.95,0.88,6.18,0.71,0.64,all
2018-05-17 20:09,bag_Of_Words,600,,,0,5.86,0,1.46,137.99,39220,9805,1,1.0,MLP,112.85,0.96,0.67,"[[ 253   13  123  341]
 [  39   20   41  139]
 [ 160    8  891  641]
 [ 509   42 1159 5426]]",0.95,0.92,6.09,0.7,0.67,all
