date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK
2018-05-01 18:26,bag_Of_Words,600,,,0,6.05,0,1.46,63.08,39220,9805,1,1.0,MLP,48.11,0.91,0.69,"[[ 173    5  113  439]
 [  32    6   44  157]
 [  89    2  703  906]
 [ 423    5  790 5918]]",0.94,0.94,6.79,0.68,0.69
2018-05-01 18:27,bag_Of_Words,138,,,0,5.71,0,1.42,44.3,39220,9805,0.1,1.0,MLP,30.65,0.84,0.68,"[[  37    1   99  593]
 [   5    0   31  203]
 [  18    2  628 1052]
 [  73    1 1034 6028]]",0.93,0.99,6.26,0.64,0.68
2018-05-01 18:28,bag_Of_Words,600,,,0,5.96,0,1.47,63.25,39220,9805,1,0.8,MLP,48.98,0.91,0.65,"[[ 141    4  136  449]
 [  24    4   37  174]
 [  87   14  804  795]
 [ 430   22 1229 5455]]",0.94,0.94,6.3,0.66,0.65
2018-05-01 18:29,bag_Of_Words,138,,,0,5.78,0,1.5,47.54,39220,9805,0.1,0.8,MLP,33.47,0.85,0.69,"[[  87    1   99  543]
 [  11    0   41  187]
 [  45    0  591 1064]
 [ 143    0  896 6097]]",0.93,0.98,6.51,0.65,0.69
2018-05-01 18:30,bag_Of_Words,6,,,0,5.68,0,1.48,44.24,39220,9805,0.25,0.75,MLP,30.43,0.74,0.72,"[[   0    0    2  728]
 [   0    0    1  238]
 [   1    0   15 1684]
 [   1    2   43 7090]]",0.93,1.0,6.44,0.57,0.72
2018-05-01 18:31,bag_Of_Words,600,,,0,6.08,0,1.48,61.12,39220,9805,1,1.0,RF,46.17,0.99,0.76,"[[  85    2   78  565]
 [   7    7   16  209]
 [  20    5  616 1059]
 [  24    2  333 6777]]",0.73,0.76,6.83,0,0
2018-05-01 18:31,bag_Of_Words,138,,,0,6.24,0,1.49,29.29,39220,9805,0.1,1.0,RF,14.33,0.95,0.73,"[[  85    7   65  573]
 [   4    4   32  199]
 [  16    3  619 1062]
 [  42    3  673 6418]]",0.69,0.73,6.97,0,0
2018-05-01 18:32,bag_Of_Words,600,,,0,6.12,0,1.47,60.93,39220,9805,1,0.8,RF,45.96,0.99,0.77,"[[  81    2   72  575]
 [   4    9   17  209]
 [  20    5  670 1005]
 [  26    1  365 6744]]",0.74,0.77,6.77,0,0
2018-05-01 18:33,bag_Of_Words,138,,,0,5.81,0,1.43,27.92,39220,9805,0.1,0.8,RF,13.82,0.95,0.74,"[[  84    6   65  575]
 [   4    4   26  205]
 [  29    5  575 1091]
 [  45    3  485 6603]]",0.7,0.74,6.59,0,0
2018-05-01 18:33,bag_Of_Words,6,,,0,5.82,0,1.42,16.93,39220,9805,0.25,0.75,RF,2.72,0.8,0.65,"[[  18    3   83  626]
 [  11    2   20  206]
 [  32    1  335 1332]
 [ 168    6  953 6009]]",0.59,0.65,6.75,0,0
2018-05-01 18:34,bag_Of_Words,600,,,0,6.11,0,1.89,65.23,39220,10935,1,1.0,MLP,49.93,0.92,0.64,"[[ 269    9  222  344]
 [  46   16   38  105]
 [ 174   10 1237  617]
 [ 703   70 1599 5476]]",0.94,0.91,6.75,0.7,0.64
2018-05-01 18:35,bag_Of_Words,138,,,0,5.82,0,1.81,47.11,39220,10935,0.1,1.0,MLP,32.78,0.85,0.63,"[[  78    8  169  589]
 [  13   14   33  145]
 [  70    2  801 1165]
 [ 302   36 1557 5953]]",0.93,0.96,6.42,0.62,0.63
