date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime
2018-04-20 21:19,bag_Of_Words,600,,,0,6.25,0,1.55,58.05,38379,9594,1,1.0,MLP,43.0,0.91,0.89,"[[ 273   29  151  225]
 [  34   45   23   44]
 [  38   15 1414  237]
 [  42    6  170 6848]]",0.96,0.99,6.75
2018-04-20 21:20,bag_Of_Words,140,,,0,7.05,0,1.68,45.49,38379,9594,0.1,1.0,MLP,28.07,0.84,0.83,"[[ 176    7  130  365]
 [  28   13   25   80]
 [  53    5  997  649]
 [  52    6  268 6740]]",0.95,0.99,8.36
2018-04-20 21:21,bag_Of_Words,600,,,0,7.02,0,1.56,60.36,38379,9594,1,0.8,MLP,43.59,0.91,0.89,"[[ 300   27  114  237]
 [  38   42   17   49]
 [  57   16 1288  343]
 [  47    6   89 6924]]",0.96,0.98,7.69
2018-04-20 21:22,bag_Of_Words,140,,,0,6.71,0,1.49,43.25,38379,9594,0.1,0.8,MLP,26.09,0.84,0.83,"[[ 152   12  124  390]
 [  25   15   12   94]
 [  48    5  909  742]
 [  46    4  175 6841]]",0.94,0.99,8.69
2018-04-20 21:22,bag_Of_Words,8,,,0,6.08,0,1.56,38.81,38379,9594,0.25,0.75,MLP,24.37,0.73,0.74,"[[   0    0   13  665]
 [   0    0    4  142]
 [   0    0   57 1647]
 [   0    0   40 7026]]",0.93,1.0,6.57
2018-04-20 21:23,bag_Of_Words,600,,,0,6.42,0,1.58,50.5,38379,9594,1,1.0,RF,35.14,0.99,0.91,"[[ 413   48  107  110]
 [  43   56   21   26]
 [  96   27 1435  146]
 [  90    6  106 6864]]",0.91,0.91,6.87
2018-04-20 21:24,bag_Of_Words,140,,,0,6.54,0,1.64,29.17,38379,9594,0.1,1.0,RF,13.47,0.95,0.86,"[[ 336   45   91  206]
 [  35   53   12   46]
 [  97   26 1199  382]
 [ 102   14  243 6707]]",0.86,0.86,7.22
2018-04-20 21:24,bag_Of_Words,600,,,0,6.91,0,1.61,53.06,38379,9594,1,0.8,RF,36.68,0.99,0.91,"[[ 411   46  109  112]
 [  45   54   22   25]
 [ 100   27 1438  139]
 [  83    5  103 6875]]",0.91,0.91,7.36
2018-04-20 21:25,bag_Of_Words,140,,,0,6.32,0,1.55,29.02,38379,9594,0.1,0.8,RF,13.39,0.95,0.86,"[[ 328   47   90  213]
 [  32   56   12   46]
 [ 103   25 1207  369]
 [ 101   12  253 6700]]",0.86,0.86,7.5
2018-04-20 21:25,bag_Of_Words,8,,,0,6.36,0,1.65,18.7,38379,9594,0.25,0.75,RF,3.19,0.81,0.79,"[[ 121   15   86  456]
 [   8   25    9  104]
 [  40    6  614 1044]
 [  52    5  236 6773]]",0.76,0.79,7.25
