date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall
2018-04-21 10:55,vector_Average,600,300features_15minwords_10contextALL,0.32,3.43,54.16,2.12,14.63,115.93,38379,9594,MLP,40.99,0.83,0.83,"[[  18    0  187  473]
 [   1    0   41  104]
 [  17    0 1099  588]
 [   2    0  206 6858]]",0.93,1.0
2018-04-21 10:57,vector_Average,600,300features_15minwords_10contextALL,0.18,3.9,53.39,2.01,13.29,142.84,38379,9594,RF,69.78,1.0,0.97,"[[ 550   13   63   52]
 [  22   96   13   15]
 [  14    3 1645   42]
 [   2    0   15 7049]]",0.97,0.97
2018-04-21 11:00,vector_Average,600,~/GoogleNews-vectors-negative300.bin,51.4,5.18,31.63,3.48,9.79,142.75,38379,9594,MLP,41.0,0.82,0.82,"[[  24    0  133  521]
 [   7    0   38  101]
 [   7    0  974  723]
 [   2    0  194 6870]]",0.93,1.0
2018-04-21 11:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,47.25,5.0,32.06,5.07,10.03,176.29,38379,9594,RF,76.61,1.0,0.94,"[[ 448    2   74  154]
 [  18   62   18   48]
 [   9    3 1500  192]
 [   3    0    8 7055]]",0.94,0.94
2018-04-21 11:05,vector_Average,600,300features_15minwords_10contextALL,0.19,4.12,51.54,2.05,13.79,111.96,38379,11993,MLP,39.98,0.84,0.77,"[[  15    0   85  779]
 [   1    0   16  264]
 [  15    0  655 1435]
 [   1    0  173 8554]]",0.93,1.0
2018-04-21 11:07,vector_Average,600,300features_15minwords_10contextALL,0.19,3.99,50.91,1.99,13.85,138.47,38379,11993,RF,67.28,1.0,0.79,"[[ 130    3   48  698]
 [   3   18    7  253]
 [   3    1  678 1423]
 [   0    0   48 8680]]",0.81,0.79
2018-04-21 11:09,vector_Average,600,~/GoogleNews-vectors-negative300.bin,47.2,4.28,30.71,3.78,9.9,135.25,38379,11993,MLP,39.14,0.83,0.76,"[[  30    0   74  775]
 [   3    0   14  264]
 [  26    0  626 1453]
 [  22    0  202 8504]]",0.93,1.0
2018-04-21 11:12,vector_Average,600,~/GoogleNews-vectors-negative300.bin,47.03,4.39,29.07,3.39,9.63,168.32,38379,11993,RF,74.56,1.0,0.78,"[[ 104    1   38  736]
 [   1   12    5  263]
 [   4    1  486 1614]
 [   0    0   19 8709]]",0.81,0.78
