date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-20 11:41,vector_Average,600,~/GoogleNews-vectors-negative300.bin,68.67,5.26,25.98,3.54,7.86,546.11,39220,9805,MLP,416.09,0.96,0.79,"[[ 404   19  105  202]
 [  63   32   27  117]
 [ 318   56  905  421]
 [ 375   68  334 6359]]",0.8,0.79,all
2018-05-20 11:48,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.91,4.81,25.25,3.37,7.24,472.32,39220,9805,MLP,373.78,0.9,0.77,"[[ 440    7  104  179]
 [  71   26   20  122]
 [ 378   17  897  408]
 [ 507   19  391 6219]]",0.8,0.77,all
2018-05-20 12:02,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.83,5.17,25.56,3.7,7.53,793.85,39220,9805,MLP,693.85,0.92,0.79,"[[ 454    6   73  197]
 [  71   20   18  130]
 [ 370   17  847  466]
 [ 362   10  293 6471]]",0.8,0.79,all
2018-05-20 12:10,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.86,5.29,24.99,3.51,7.49,482.26,39220,9805,MLP,383.74,0.9,0.79,"[[ 418    2  118  192]
 [  72   15   51  101]
 [ 254    9 1019  418]
 [ 402    1  433 6300]]",0.8,0.79,all
2018-05-20 12:17,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.14,4.77,26.55,3.93,7.5,460.83,39220,9805,MLP,359.6,0.88,0.76,"[[ 438    2  134  156]
 [  87   17   55   80]
 [ 330   14  976  380]
 [ 532    3  547 6054]]",0.79,0.76,all
2018-05-20 12:32,vector_Average,600,~/GoogleNews-vectors-negative300.bin,42.75,4.83,25.96,3.41,7.49,476.58,39220,9805,MLP,374.49,0.97,0.79,"[[ 411   11  117  191]
 [  65   19   31  124]
 [ 292   33  938  437]
 [ 403   28  365 6340]]",0.79,0.79,all
2018-05-20 12:47,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.31,5.3,25.78,3.58,7.52,513.47,39220,9805,MLP,411.82,0.96,0.79,"[[ 386   23  105  216]
 [  67   30   36  106]
 [ 309   68  927  396]
 [ 409   56  293 6378]]",0.8,0.79,all
2018-05-20 12:54,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.78,5.05,25.64,3.96,7.54,409.28,39220,9805,MLP,308.71,0.75,0.6,"[[ 389   18  269   54]
 [  75   22  113   29]
 [ 602   39  800  259]
 [ 654   24 1793 4665]]",0.75,0.6,all
2018-05-20 13:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.78,5.0,24.49,3.61,7.32,508.52,39220,9805,MLP,410.53,0.94,0.79,"[[ 426    6   89  209]
 [  67   26   22  124]
 [ 328   24  914  434]
 [ 377   24  367 6368]]",0.8,0.79,all
2018-05-20 13:16,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.66,5.12,25.04,3.54,7.37,785.47,39220,9805,MLP,686.35,0.94,0.81,"[[ 358    4  135  233]
 [  42   20   47  130]
 [ 223   16 1081  380]
 [ 276   11  405 6444]]",0.8,0.81,all
2018-05-20 13:23,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.11,5.24,26.04,3.76,7.48,448.11,39220,9805,MLP,347.15,0.96,0.8,"[[ 402    2   85  241]
 [  71   19   22  127]
 [ 326    8  882  484]
 [ 296   11  280 6549]]",0.8,0.8,all
2018-05-20 13:31,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.75,5.5,26.22,4.41,7.75,468.44,39220,9805,MLP,364.28,0.96,0.78,"[[ 293    5  157  275]
 [  43   17   51  128]
 [ 198   10 1082  410]
 [ 271    5  577 6283]]",0.78,0.78,all
2018-05-20 13:38,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.81,5.04,26.12,3.73,7.55,412.52,39220,9805,MLP,312.01,0.95,0.8,"[[ 406    3  132  189]
 [  75   15   33  116]
 [ 241   23  980  456]
 [ 311    2  403 6420]]",0.8,0.8,all
2018-05-20 13:50,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.29,5.76,25.55,3.9,7.28,748.33,39220,9805,MLP,647.42,0.99,0.82,"[[ 357   10  117  246]
 [  53   35   43  108]
 [ 270   21  984  425]
 [ 205   21  279 6631]]",0.81,0.82,all
2018-05-20 13:57,vector_Average,600,~/GoogleNews-vectors-negative300.bin,40.0,5.06,24.88,3.67,7.11,370.52,39220,9805,MLP,272.32,0.99,0.82,"[[ 405    6  160  159]
 [  60   29   64   86]
 [ 198   13 1143  346]
 [ 252   18  433 6433]]",0.82,0.82,all
2018-05-20 14:04,vector_Average,600,~/GoogleNews-vectors-negative300.bin,39.82,4.85,24.97,3.82,7.16,418.69,39220,9805,MLP,319.96,1.0,0.82,"[[ 334   10  111  275]
 [  39   30   35  135]
 [ 199   22  985  494]
 [ 158   27  295 6656]]",0.8,0.82,all
2018-05-20 14:10,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.24,4.99,25.58,3.74,7.37,410.28,39220,9805,MLP,309.12,0.99,0.81,"[[ 295    3  135  297]
 [  22   20   35  162]
 [ 210   10 1059  421]
 [ 174   18  400 6544]]",0.8,0.81,all
