date,executionDesc,textModelFeatures,modelName,modelExecutionTime,trainInstances,testInstances,modelTrained,totalExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,SMOTE
2018-06-25 16:20,vector_Average,600,~/GoogleNews-vectors-negative300.bin,433.75,39220,9805,MLP,565.47,0.93,0.81,0.93,0.82,0.93,0.81,"[[ 450    3  129  148]
 [  63   25   50  101]
 [ 260   14 1109  317]
 [ 319    5  435 6377]]",all
2018-06-25 17:14,vector_Average,600,~/GoogleNews-vectors-negative300.bin,329.47,39220,9805,MLP,457.07,0.56,0.35,0.55,0.67,0.56,0.35,"[[ 452   81  101   96]
 [ 126   57   17   39]
 [ 480  104  849  267]
 [2319  561 2154 2102]]",all
2018-06-25 17:32,vector_Average,600,~/GoogleNews-vectors-negative300.bin,339.28,39220,9805,MLP,462.78,0.97,0.79,0.97,0.79,0.97,0.79,"[[ 366   14  115  235]
 [  62   24   32  121]
 [ 264   30  928  478]
 [ 345   32  361 6398]]",all
2018-06-25 17:41,vector_Average,600,~/GoogleNews-vectors-negative300.bin,339.76,39220,9805,MLP,462.26,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 351    9   93  277]
 [  43   30   27  139]
 [ 194   21  989  496]
 [ 132   12  268 6724]]",all
2018-06-25 17:50,vector_Average,600,~/GoogleNews-vectors-negative300.bin,338.76,39220,9805,MLP,464.44,0.97,0.78,0.97,0.79,0.97,0.78,"[[ 345   22  149  214]
 [  55   27   44  113]
 [ 213   40 1080  367]
 [ 362   39  532 6203]]",all
2018-06-25 17:59,vector_Average,600,~/GoogleNews-vectors-negative300.bin,338.2,39220,9805,MLP,460.51,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 310   11  149  260]
 [  44   23   38  134]
 [ 147   23 1073  457]
 [ 168   20  411 6537]]",all
2018-06-25 18:08,vector_Average,600,~/GoogleNews-vectors-negative300.bin,390.71,39220,9805,MLP,525.94,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 367   10  104  249]
 [  54   22   38  125]
 [ 222   18  990  470]
 [ 192   20  293 6631]]",all
2018-06-25 18:18,vector_Average,600,~/GoogleNews-vectors-negative300.bin,387.95,39220,9805,MLP,513.35,0.99,0.83,0.99,0.81,0.99,0.83,"[[ 305    3  175  247]
 [  39   14   62  124]
 [ 148    5 1071  476]
 [ 101    4  324 6707]]",all
2018-06-25 18:41,vector_Average,600,~/GoogleNews-vectors-negative300.bin,367.84,39220,9805,MLP,489.97,0.97,0.8,0.97,0.8,0.97,0.8,"[[ 368   19  123  220]
 [  54   32   30  123]
 [ 268   46  954  432]
 [ 290   28  364 6454]]",all
2018-06-25 18:48,vector_Average,600,~/GoogleNews-vectors-negative300.bin,328.27,39220,9805,MLP,450.56,0.92,0.75,0.92,0.79,0.92,0.75,"[[ 410   14  127  179]
 [  64   33   34  108]
 [ 338   43  940  379]
 [ 591   52  480 6013]]",all
2018-06-25 18:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,326.53,39220,9805,MLP,449.4,0.84,0.67,0.84,0.74,0.84,0.67,"[[ 426   29   69  206]
 [  79   36   14  110]
 [ 372   65  775  488]
 [1068   85  636 5347]]",all
2018-06-25 19:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,327.94,39220,9805,MLP,447.63,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 350   12  110  258]
 [  49   26   30  134]
 [ 188   31  971  510]
 [ 157   13  245 6721]]",all
2018-06-25 19:11,vector_Average,600,~/GoogleNews-vectors-negative300.bin,328.88,39220,9805,MLP,449.81,0.99,0.81,0.99,0.8,0.99,0.81,"[[ 327   12  120  271]
 [  48   25   44  122]
 [ 186   26 1056  432]
 [ 228   24  372 6512]]",all
2018-06-25 19:19,vector_Average,600,~/GoogleNews-vectors-negative300.bin,353.54,39220,9805,MLP,475.64,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 273    5  177  275]
 [  30   26   57  126]
 [ 100   12 1105  483]
 [  83   13  288 6752]]",all
2018-06-25 19:27,vector_Average,600,~/GoogleNews-vectors-negative300.bin,347.26,39220,9805,MLP,472.91,0.99,0.79,0.99,0.78,0.99,0.79,"[[ 314   19  129  268]
 [  48   41   39  111]
 [ 215   31  951  503]
 [ 217   45  430 6444]]",all
2018-06-25 19:35,vector_Average,600,~/GoogleNews-vectors-negative300.bin,381.98,39220,9805,MLP,503.76,0.98,0.78,0.98,0.77,0.98,0.78,"[[ 291   30  123  286]
 [  29   50   36  124]
 [ 201   47  862  590]
 [ 233  105  366 6432]]",all
2018-06-25 19:44,vector_Average,600,~/GoogleNews-vectors-negative300.bin,381.14,39220,9805,MLP,503.93,0.99,0.81,0.99,0.8,0.99,0.81,"[[ 368   11   77  274]
 [  59   20   34  126]
 [ 257   21  863  559]
 [ 244    6  195 6691]]",all
2018-06-25 19:51,vector_Average,600,~/GoogleNews-vectors-negative300.bin,328.97,39220,9805,MLP,452.33,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 326    7  102  295]
 [  50   23   24  142]
 [ 233   16  909  542]
 [ 179   14  239 6704]]",all
2018-06-25 19:59,vector_Average,600,~/GoogleNews-vectors-negative300.bin,367.2,39220,9805,MLP,486.47,0.96,0.77,0.96,0.79,0.96,0.77,"[[ 409   14  105  202]
 [  68   28   21  122]
 [ 340   38  874  448]
 [ 493   29  341 6273]]",all
