date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-05 11:36,bag_Of_Words,600,,,0,6.05,0,1.9,164.33,39220,10935,1,1.0,MLP,136.24,0.96,0.65,"[[ 396   53  212  183]
 [  65   41   49   50]
 [ 222   40 1356  420]
 [ 818   75 1612 5343]]",0.95,0.89,6.82,0.74,0.65,all
2018-05-05 11:38,bag_Of_Words,138,,,0,6.33,0,1.83,99.82,39220,10935,0.1,1.0,MLP,80.21,0.87,0.5,"[[ 327   24  223  270]
 [  56   12   70   67]
 [ 249   46 1275  468]
 [1280   70 2668 3830]]",0.94,0.84,7.49,0.66,0.5,all
2018-05-05 11:41,bag_Of_Words,600,,,0,6.49,0,1.86,162.23,39220,10935,1,0.8,MLP,133.69,0.96,0.66,"[[ 360   38  191  255]
 [  54   33   66   52]
 [ 217   25 1336  460]
 [ 736  173 1460 5479]]",0.95,0.9,6.9,0.73,0.66,all
2018-05-05 11:42,bag_Of_Words,138,,,0,5.88,0,1.8,95.35,39220,10935,0.1,0.8,MLP,78.02,0.88,0.51,"[[ 354   48  219  223]
 [  51   30   63   61]
 [ 282   52 1131  573]
 [1276  186 2275 4111]]",0.95,0.84,6.43,0.67,0.51,all
2018-05-05 11:44,bag_Of_Words,6,,,0,6.29,0,1.84,84.84,39220,10935,0.25,0.75,MLP,68.61,0.45,0.25,"[[ 349  263  151   81]
 [  71   74   35   25]
 [ 630  515  660  233]
 [1950 2264 1959 1675]]",0.94,0.74,7.08,0.65,0.25,all
2018-05-05 11:46,bag_Of_Words,600,,,0,6.22,0,1.96,142.15,39220,10935,1,1.0,RF,113.91,1.0,0.73,"[[ 427    1  204  212]
 [  61    6   48   90]
 [ 185    0 1324  529]
 [ 642    1 1034 6171]]",0.77,0.73,6.71,0,0,all
2018-05-05 11:47,bag_Of_Words,138,,,0,6.04,0,1.81,61.1,39220,10935,0.1,1.0,RF,43.2,0.97,0.54,"[[ 287    3  297  257]
 [  35   11   86   73]
 [ 162    2 1369  505]
 [ 661   51 2919 4217]]",0.68,0.54,6.62,0,0,all
2018-05-05 11:50,bag_Of_Words,600,,,0,6.13,0,1.86,144.55,39220,10935,1,0.8,RF,116.61,1.0,0.75,"[[ 380    0  213  251]
 [  44    6   59   96]
 [ 140    0 1301  597]
 [ 519    0  838 6491]]",0.77,0.75,6.69,0,0,all
2018-05-05 11:51,bag_Of_Words,138,,,0,6.09,0,1.85,61.77,39220,10935,0.1,0.8,RF,44.07,0.97,0.56,"[[ 306    2  241  295]
 [  56   14   61   74]
 [ 217    1 1318  502]
 [ 832   28 2452 4536]]",0.68,0.56,6.77,0,0,all
2018-05-05 11:51,bag_Of_Words,6,,,0,6.02,0,1.83,25.45,39220,10935,0.25,0.75,RF,9.91,0.7,0.41,"[[ 259  107  183  295]
 [  62   26   46   71]
 [ 474  173  756  635]
 [1541  674 2150 3483]]",0.61,0.41,6.67,0,0,all
