date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,averagePrecisionSK,recallSK,SMOTE
2018-05-03 20:46,vector_Average,600,300features_15minwords_10contextALL,0.61,4.43,45.1,1.86,10.39,201.19,39220,9805,MLP,126.69,0.89,0.79,"[[ 367   31  112  220]
 [  51   38   35  115]
 [ 299   51  914  436]
 [ 275   77  340 6444]]",0.96,0.93,0.8,0.79,all
2018-05-03 20:53,vector_Average,600,300features_15minwords_10contextALL,0.19,4.06,46.82,1.87,9.95,422.54,39220,9805,RF,347.94,1.0,0.8,"[[ 141    2   50  537]
 [   4   17    4  214]
 [  22    6  664 1008]
 [   5    0  103 7028]]",0.8,0.8,0,0,all
2018-05-03 20:57,vector_Average,600,~/GoogleNews-vectors-negative300.bin,74.54,5.18,27.91,3.42,8.15,257.49,39220,9805,MLP,118.54,0.97,0.79,"[[ 379   13   96  242]
 [  54   29   18  138]
 [ 276   30  943  451]
 [ 331   27  337 6441]]",0.96,0.93,0.8,0.79,all
2018-05-03 21:04,vector_Average,600,~/GoogleNews-vectors-negative300.bin,43.17,5.97,32.4,4.25,9.73,445.22,39220,9805,RF,330.11,1.0,0.79,"[[ 119    3   32  576]
 [   3   14    3  219]
 [  10    0  550 1140]
 [   6    0   70 7060]]",0.8,0.79,0,0,all
2018-05-03 21:08,vector_Average,600,300features_15minwords_10contextALL,0.2,4.54,44.21,2.22,13.51,192.34,39220,10935,MLP,115.61,0.89,0.85,"[[ 587   98  103   56]
 [  32  113   29   31]
 [ 473  118 1267  180]
 [ 201   50  293 7304]]",0.97,0.93,0.87,0.85,all
2018-05-03 21:15,vector_Average,600,300features_15minwords_10contextALL,0.19,3.81,44.43,2.66,13.52,420.11,39220,10935,RF,342.64,1.0,0.89,"[[ 515   15  183  131]
 [  18   84   56   47]
 [ 204   14 1466  354]
 [  23    3  166 7656]]",0.88,0.89,0,0,all
2018-05-03 21:19,vector_Average,600,~/GoogleNews-vectors-negative300.bin,44.64,6.11,31.06,4.88,11.81,237.84,39220,10935,MLP,118.99,0.96,0.83,"[[ 629   39  106   70]
 [  64   91   30   20]
 [ 415   52 1277  294]
 [ 327   32  364 7125]]",0.98,0.92,0.86,0.83,all
2018-05-03 21:26,vector_Average,600,~/GoogleNews-vectors-negative300.bin,41.85,5.78,28.26,4.38,10.33,440.6,39220,10935,RF,329.92,1.0,0.86,"[[ 467   12  164  201]
 [  20   54   65   66]
 [ 178    9 1349  502]
 [  13    1  332 7502]]",0.85,0.86,0,0,all
