date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-06-02 11:21,vector_Average,600,300features_15minwords_10contextALL,0.3,3.81,48.83,2.11,14.15,246.0,39220,12707,MLP,166.0,0.91,0.6,"[[ 480  100  414  909]
 [  55   68   98  476]
 [ 420  131 1919 1994]
 [ 155   61  318 5109]]",0.59,0.6,all
2018-06-02 11:34,vector_Average,600,300features_15minwords_10contextALL,0.3,3.28,50.69,1.96,14.15,246.02,39220,12707,MLP,164.88,0.92,0.58,"[[ 550   85  286  982]
 [  55   46   79  517]
 [ 424   96 1576 2368]
 [ 151   46  253 5193]]",0.59,0.58,all
2018-06-02 14:48,vector_Average,600,300features_15minwords_10contextALL,0.29,3.97,47.38,1.8,10.94,236.12,39220,9805,MLP,160.67,0.92,0.78,"[[ 218   23  107  382]
 [  23   30   18  168]
 [ 173   48  747  732]
 [ 164   58  282 6632]]",0.75,0.78,all
2018-06-02 14:52,vector_Average,600,300features_15minwords_10contextALL,0.18,3.68,47.17,2.0,10.99,237.59,39220,9805,MLP,162.72,0.92,0.78,"[[ 317   21  108  284]
 [  28   33   16  162]
 [ 266   41  805  588]
 [ 250   73  346 6467]]",0.77,0.78,all
2018-06-02 14:56,vector_Average,600,300features_15minwords_10contextALL,0.18,3.75,48.23,2.21,15.21,243.06,39220,10935,MLP,162.82,0.92,0.84,"[[ 571   63  125   85]
 [  42  101   37   25]
 [ 357   60 1329  292]
 [ 303   68  324 7153]]",0.86,0.84,all
2018-06-02 15:00,vector_Average,600,300features_15minwords_10contextALL,0.18,3.85,47.89,2.39,14.8,241.6,39220,10935,MLP,162.02,0.92,0.84,"[[ 538   97  112   97]
 [  35  115   22   33]
 [ 298   82 1343  315]
 [ 247   84  333 7184]]",0.86,0.84,all
2018-06-02 20:59,vector_Average,600,300features_15minwords_10contextALL,0.3,3.91,50.66,1.99,11.61,437.76,39220,9805,MLP,358.12,0.97,0.8,"[[ 254   10  120  346]
 [  29   27   20  163]
 [ 174   26  876  624]
 [ 115   38  322 6661]]",0.78,0.8,all
2018-06-02 21:06,vector_Average,600,300features_15minwords_10contextALL,0.18,4.41,48.92,2.01,11.33,433.83,39220,9805,MLP,356.33,0.97,0.8,"[[ 263    7  102  358]
 [  25   28   16  170]
 [ 164   33  916  587]
 [ 117   36  325 6658]]",0.78,0.8,all
2018-06-02 21:14,vector_Average,600,300features_15minwords_10contextALL,0.19,4.15,49.13,2.29,15.72,441.46,39220,10935,MLP,359.04,0.96,0.88,"[[ 574   49  142   79]
 [  31  102   42   30]
 [ 296   51 1442  249]
 [ 145   25  212 7466]]",0.88,0.88,all
2018-06-02 21:21,vector_Average,600,300features_15minwords_10contextALL,0.19,4.33,49.02,2.23,15.12,439.3,39220,10935,MLP,357.3,0.97,0.87,"[[ 564   52  157   71]
 [  35  102   36   32]
 [ 329   40 1411  258]
 [ 158   22  225 7443]]",0.88,0.87,all
