date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,averagePrecisionSK,recallSK,SMOTE
2018-05-04 18:36,vector_Average,600,300features_15minwords_10contextALL,0.7,4.92,52.18,2.32,11.39,231.86,39220,9805,MLP,146.24,0.89,0.8,"[[ 233   39  190  268]
 [  16   33   44  146]
 [ 137   47 1104  412]
 [ 108   69  464 6495]]",0.95,0.97,0.79,0.8,all
2018-05-04 18:44,vector_Average,600,300features_15minwords_10contextALL,0.22,4.86,51.44,2.53,11.76,493.48,39220,9805,RF,408.89,1.0,0.8,"[[ 147    3   48  532]
 [   3   16    5  215]
 [  19    2  658 1021]
 [  10    0  100 7026]]",0.8,0.8,0,0,all
2018-05-04 18:49,vector_Average,600,~/GoogleNews-vectors-negative300.bin,85.14,6.56,35.05,4.35,10.13,308.37,39220,9805,MLP,145.69,0.97,0.8,"[[ 320   13  108  289]
 [  44   26   26  143]
 [ 226   34  827  613]
 [ 212   25  263 6636]]",0.95,0.95,0.78,0.8,all
2018-05-04 18:58,vector_Average,600,~/GoogleNews-vectors-negative300.bin,48.23,6.37,35.02,4.87,10.9,518.31,39220,9805,RF,391.53,1.0,0.79,"[[ 126    4   32  568]
 [   2   14    4  219]
 [  18    2  558 1122]
 [   3    0   82 7051]]",0.8,0.79,0,0,all
2018-05-04 19:02,vector_Average,600,300features_15minwords_10contextALL,0.23,5.2,51.83,2.77,15.65,242.45,39220,10935,MLP,152.93,0.89,0.84,"[[ 623   59  113   49]
 [  46  101   29   29]
 [ 513   64 1287  174]
 [ 265   49  360 7174]]",0.98,0.92,0.87,0.84,all
2018-05-04 19:10,vector_Average,600,300features_15minwords_10contextALL,0.23,5.4,52.64,2.86,15.66,503.86,39220,10935,RF,412.41,1.0,0.89,"[[ 522   14  171  137]
 [  19   87   53   46]
 [ 196   13 1480  349]
 [  11    2  171 7664]]",0.89,0.89,0,0,all
2018-05-04 19:15,vector_Average,600,~/GoogleNews-vectors-negative300.bin,50.61,6.71,35.43,5.21,12.86,284.38,39220,10935,MLP,151.55,0.97,0.86,"[[ 512   52  149  131]
 [  29   98   47   31]
 [ 240   60 1374  364]
 [ 167   34  267 7380]]",0.97,0.96,0.86,0.86,all
2018-05-04 19:24,vector_Average,600,~/GoogleNews-vectors-negative300.bin,47.38,7.25,36.72,4.92,12.64,520.69,39220,10935,RF,389.38,1.0,0.86,"[[ 472   10  161  201]
 [  20   54   63   68]
 [ 190    8 1372  468]
 [  16    0  311 7521]]",0.85,0.86,0,0,all
