date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-17 15:55,bag_Of_Words,600,384.8,39220,9805,1,1.0,MLP,358.4,0.96,0.6,0.96,0.71,0.96,0.6,"[[ 312   22  154  242]
 [  55   18   61  105]
 [ 175   23 1089  413]
 [ 946  115 1599 4476]]",7.25,all
2018-06-17 15:58,bag_Of_Words,138,187.67,39220,9805,0.1,1.0,MLP,170.25,0.88,0.55,0.88,0.66,0.88,0.55,"[[ 235   30  208  257]
 [  40   28   78   93]
 [ 169   42  892  597]
 [ 648  235 1974 4279]]",6.59,all
2018-06-17 16:04,bag_Of_Words,600,347.07,39220,9805,1,0.8,MLP,321.28,0.96,0.63,0.96,0.71,0.96,0.63,"[[ 321   24  136  249]
 [  66   29   61   83]
 [ 243   12  925  520]
 [1047   80 1137 4872]]",6.47,all
2018-06-17 16:07,bag_Of_Words,138,189.53,39220,9805,0.1,0.8,MLP,172.21,0.89,0.54,0.89,0.67,0.89,0.54,"[[ 312   36  150  232]
 [  56   37   58   88]
 [ 272   54  855  519]
 [ 978  245 1815 4098]]",6.61,all
2018-06-17 16:09,bag_Of_Words,6,128.52,39220,9805,0.25,0.75,MLP,113.4,0.46,0.33,0.45,0.61,0.46,0.33,"[[ 230  173  129  198]
 [  74   51   50   64]
 [ 385  344  524  447]
 [1418 1758 1543 2417]]",6.52,all
2018-06-17 16:12,bag_Of_Words,600,162.85,39220,9805,1,1.0,RF,137.23,1.0,0.71,1.0,0.72,1.0,0.71,"[[ 278    5  107  340]
 [  58   10   34  137]
 [ 133    5  785  777]
 [ 657    4  556 5919]]",6.61,all
2018-06-17 16:13,bag_Of_Words,138,70.28,39220,9805,0.1,1.0,RF,53.33,0.97,0.6,0.97,0.68,0.97,0.6,"[[ 266    8  208  248]
 [  62   13   79   85]
 [ 157    8  928  607]
 [ 621   27 1855 4633]]",6.61,all
2018-06-17 16:16,bag_Of_Words,600,163.81,39220,9805,1,0.8,RF,137.81,1.0,0.74,1.0,0.74,1.0,0.74,"[[ 308    4  111  307]
 [  63   10   50  116]
 [ 128    5  780  787]
 [ 570    7  447 6112]]",6.79,all
2018-06-17 16:17,bag_Of_Words,138,69.89,39220,9805,0.1,0.8,RF,52.95,0.97,0.57,0.97,0.67,0.97,0.57,"[[ 243    8  200  279]
 [  45   14   81   99]
 [ 139    8  993  560]
 [ 686   32 2114 4304]]",6.73,all
2018-06-17 16:18,bag_Of_Words,6,29.97,39220,9805,0.25,0.75,RF,14.35,0.7,0.4,0.71,0.6,0.7,0.4,"[[ 285   61  134  250]
 [  86   26   38   89]
 [ 449   83  567  601]
 [1906  486 1716 3028]]",6.74,all
2018-06-17 16:24,bag_Of_Words,600,356.98,39220,10935,1,1.0,MLP,330.95,0.96,0.64,0.96,0.73,0.96,0.64,"[[ 409   50  153  232]
 [  42   53   36   74]
 [ 210   36 1331  461]
 [ 963  117 1540 5228]]",6.83,all
2018-06-17 16:27,bag_Of_Words,138,193.42,39220,10935,0.1,1.0,MLP,175.97,0.87,0.56,0.87,0.66,0.87,0.56,"[[ 294   25  213  312]
 [  36   12   67   90]
 [ 202   17 1209  610]
 [ 827   44 2392 4585]]",6.66,all
2018-06-17 16:33,bag_Of_Words,600,356.98,39220,10935,1,0.8,MLP,331.65,0.96,0.63,0.96,0.74,0.96,0.63,"[[ 408   45  208  183]
 [  62   45   43   55]
 [ 208   24 1399  407]
 [ 868  106 1831 5043]]",6.62,all
2018-06-17 16:36,bag_Of_Words,138,194.78,39220,10935,0.1,0.8,MLP,176.92,0.87,0.49,0.88,0.67,0.87,0.49,"[[ 414   37  189  204]
 [  62   19   67   57]
 [ 357   42 1165  474]
 [1617   94 2429 3708]]",6.89,all
2018-06-17 16:38,bag_Of_Words,6,135.94,39220,10935,0.25,0.75,MLP,119.98,0.46,0.35,0.46,0.63,0.46,0.35,"[[ 367  176  148  153]
 [  71   47   36   51]
 [ 614  288  652  484]
 [1844 1397 1819 2788]]",6.64,all
2018-06-17 16:41,bag_Of_Words,600,163.58,39220,10935,1,1.0,RF,137.23,1.0,0.71,1.0,0.75,1.0,0.71,"[[ 386    2  189  267]
 [  64   11   47   83]
 [ 176    2 1335  525]
 [ 582    4 1179 6083]]",6.87,all
2018-06-17 16:42,bag_Of_Words,138,71.17,39220,10935,0.1,1.0,RF,52.51,0.97,0.55,0.97,0.69,0.97,0.55,"[[ 310    0  280  254]
 [  48    5   81   71]
 [ 178    1 1324  535]
 [ 881    1 2620 4346]]",6.98,all
2018-06-17 16:45,bag_Of_Words,600,162.26,39220,10935,1,0.8,RF,136.28,1.0,0.73,1.0,0.76,1.0,0.73,"[[ 394    2  221  227]
 [  50   22   65   68]
 [ 155    2 1372  509]
 [ 516   27 1093 6212]]",6.78,all
2018-06-17 16:46,bag_Of_Words,138,69.39,39220,10935,0.1,0.8,RF,52.02,0.97,0.57,0.97,0.67,0.97,0.57,"[[ 289    0  283  272]
 [  36   11   71   87]
 [ 120    6 1286  626]
 [ 688   30 2474 4656]]",6.69,all
2018-06-17 16:47,bag_Of_Words,6,30.72,39220,10935,0.25,0.75,RF,14.22,0.7,0.41,0.71,0.61,0.7,0.41,"[[ 273  108  159  304]
 [  68   26   41   70]
 [ 503  180  747  608]
 [1552  707 2193 3396]]",6.9,all
