date,executionDesc,textModelFeatures,modelName,modelExecutionTime,trainInstances,testInstances,modelTrained,totalExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,SMOTE
2018-06-19 21:53,vector_Average,600,300features_15minwords_10contextALL,340.17,39220,9805,MLP,413.47,0.89,0.79,0.89,0.8,0.89,0.79,"[[ 323   46  132  229]
 [  40   53   33  113]
 [ 239   77  933  451]
 [ 257  102  312 6465]]",all
2018-06-19 22:00,vector_Average,600,300features_15minwords_10contextALL,320.5,39220,9805,RF,395.03,1.0,0.8,1.0,0.8,1.0,0.8,"[[ 147    2   47  534]
 [   3   16    6  214]
 [  25    3  660 1012]
 [  12    0  103 7021]]",all
2018-06-19 22:07,vector_Average,600,~/GoogleNews-vectors-negative300.bin,334.03,39220,9805,MLP,440.72,0.96,0.78,0.96,0.79,0.96,0.78,"[[ 402   21   93  214]
 [  67   30   16  126]
 [ 359   51  884  406]
 [ 469   40  335 6292]]",all
2018-06-19 22:14,vector_Average,600,~/GoogleNews-vectors-negative300.bin,308.68,39220,9805,RF,411.74,1.0,0.79,1.0,0.8,1.0,0.79,"[[ 118    3   34  575]
 [   1   14    6  218]
 [  15    2  538 1145]
 [   2    0   66 7068]]",all
2018-06-19 22:22,vector_Average,600,300features_15minwords_10contextALL,359.24,39220,10935,MLP,436.44,0.89,0.85,0.89,0.87,0.89,0.85,"[[ 587   83  126   48]
 [  34  108   34   29]
 [ 454   85 1310  189]
 [ 216   38  296 7298]]",all
2018-06-19 22:28,vector_Average,600,300features_15minwords_10contextALL,324.78,39220,10935,RF,402.39,1.0,0.89,1.0,0.89,1.0,0.89,"[[ 519   15  169  141]
 [  11   83   66   45]
 [ 190   14 1474  360]
 [  18    1  149 7680]]",all
2018-06-19 22:35,vector_Average,600,~/GoogleNews-vectors-negative300.bin,318.88,39220,10935,MLP,425.21,0.96,0.85,0.96,0.86,0.96,0.85,"[[ 472   63  245   64]
 [  23   94   69   19]
 [ 195   53 1562  228]
 [ 179   46  430 7193]]",all
2018-06-19 22:42,vector_Average,600,~/GoogleNews-vectors-negative300.bin,310.7,39220,10935,RF,416.41,1.0,0.85,1.0,0.85,1.0,0.85,"[[ 473   10  163  198]
 [  24   49   64   68]
 [ 193    7 1342  496]
 [  21    1  371 7455]]",all
