date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecision,recall,vectorizerFitTime,averagePrecisionSK,recallSK,SMOTE
2018-05-04 19:33,bag_Of_Words,600,,,0,6.86,0,1.73,186.06,39220,9805,1,1.0,MLP,154.29,0.95,0.61,"[[ 267   13  174  276]
 [  43   18   69  109]
 [ 162   21 1065  452]
 [ 888   59 1556 4633]]",0.95,0.88,8.24,0.7,0.61,all
2018-05-04 19:35,bag_Of_Words,138,,,0,6.91,0,1.57,119.34,39220,9805,0.1,1.0,MLP,99.68,0.88,0.54,"[[ 300   13  195  222]
 [  45   26   77   91]
 [ 257   20  930  493]
 [ 914  124 2087 4011]]",0.95,0.87,7.64,0.67,0.54,all
2018-05-04 19:38,bag_Of_Words,600,,,0,6.64,0,1.6,177.69,39220,9805,1,0.8,MLP,148.4,0.96,0.67,"[[ 246   11  124  349]
 [  41   17   59  122]
 [ 164   11  869  656]
 [ 567   34 1128 5407]]",0.94,0.91,7.31,0.7,0.67,all
2018-05-04 19:39,bag_Of_Words,138,,,0,6.15,0,1.55,109.49,39220,9805,0.1,0.8,MLP,90.99,0.87,0.53,"[[ 246   46  202  236]
 [  31   40   84   84]
 [ 175   51  939  535]
 [ 701  327 2110 3998]]",0.94,0.9,7.42,0.67,0.53,all
2018-05-04 19:41,bag_Of_Words,6,,,0,6.63,0,1.62,104.99,39220,9805,0.25,0.75,MLP,88.3,0.46,0.3,"[[ 399   38  164  129]
 [ 106   16   61   56]
 [ 595  146  605  354]
 [2487  700 2029 1920]]",0.95,0.65,7.4,0.61,0.3,all
2018-05-04 19:44,bag_Of_Words,600,,,0,6.5,0,1.7,158.31,39220,9805,1,1.0,RF,128.7,1.0,0.7,"[[ 269    4  117  340]
 [  48   11   44  136]
 [ 133    5  818  744]
 [ 575    9  793 5759]]",0.71,0.7,7.18,0,0,all
2018-05-04 19:45,bag_Of_Words,138,,,0,6.73,0,1.62,73.04,39220,9805,0.1,1.0,RF,53.0,0.97,0.57,"[[ 244    7  199  280]
 [  35   11   89  104]
 [ 144    7  931  618]
 [ 676   23 2004 4433]]",0.67,0.57,8.16,0,0,all
2018-05-04 19:48,bag_Of_Words,600,,,0,6.88,0,1.61,160.35,39220,9805,1,0.8,RF,129.49,1.0,0.72,"[[ 274    4   88  364]
 [  47   10   51  131]
 [ 141    5  791  763]
 [ 547    5  593 5991]]",0.72,0.72,7.8,0,0,all
2018-05-04 19:49,bag_Of_Words,138,,,0,6.34,0,1.63,69.69,39220,9805,0.1,0.8,RF,51.04,0.97,0.56,"[[ 272    9  193  256]
 [  53   11   94   81]
 [ 150    8  931  611]
 [ 728   25 2082 4301]]",0.67,0.56,7.29,0,0,all
2018-05-04 19:49,bag_Of_Words,6,,,0,6.3,0,1.53,27.75,39220,9805,0.25,0.75,RF,11.46,0.7,0.4,"[[ 277   68  129  256]
 [  86   29   29   95]
 [ 423   91  560  626]
 [1830  575 1678 3053]]",0.6,0.4,7.32,0,0,all
