date,executionDesc,textModelFeatures,totalExecutionTime,trainInstances,testInstances,min_df,max_df,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,vectorizerFitTime,SMOTE
2018-06-20 19:58,bag_Of_Words,600,420.72,39220,9805,1,1.0,MLP,394.44,0.96,0.63,0.96,0.7,0.96,0.63,"[[ 270   11  176  273]
 [  44   16   77  102]
 [ 155   15 1009  521]
 [ 697   71 1454 4914]]",6.29,all
2018-06-20 20:01,bag_Of_Words,138,192.2,39220,9805,0.1,1.0,MLP,176.22,0.89,0.55,0.89,0.67,0.89,0.55,"[[ 267   30  167  266]
 [  45   33   65   96]
 [ 231   45  858  566]
 [ 856  244 1769 4267]]",6.06,all
2018-06-20 20:08,bag_Of_Words,600,397.96,39220,9805,1,0.8,MLP,372.62,0.96,0.67,0.96,0.71,0.96,0.67,"[[ 291   20  104  315]
 [  53   22   43  121]
 [ 200   23  851  626]
 [ 829   65  797 5445]]",6.02,all
2018-06-20 20:11,bag_Of_Words,138,192.93,39220,9805,0.1,0.8,MLP,174.59,0.88,0.55,0.88,0.67,0.88,0.55,"[[ 264   34  180  252]
 [  56   28   75   80]
 [ 215   33  910  542]
 [ 850  153 1907 4226]]",7.53,all
2018-06-20 20:13,bag_Of_Words,6,128.86,39220,9805,0.25,0.75,MLP,114.72,0.47,0.31,0.47,0.61,0.47,0.31,"[[ 335  105  119  171]
 [  93   33   49   64]
 [ 559  250  488  403]
 [2121 1140 1653 2222]]",6.07,all
2018-06-20 20:15,bag_Of_Words,600,141.4,39220,9805,1,1.0,RF,115.71,1.0,0.72,1.0,0.72,1.0,0.72,"[[ 253    6  111  360]
 [  47   10   47  135]
 [ 133    5  795  767]
 [ 500   14  608 6014]]",6.09,all
2018-06-20 20:16,bag_Of_Words,138,61.62,39220,9805,0.1,1.0,RF,45.15,0.97,0.59,0.97,0.68,0.97,0.59,"[[ 279    7  195  249]
 [  41   11   85  102]
 [ 117    7  954  622]
 [ 682   28 1885 4541]]",6.4,all
2018-06-20 20:19,bag_Of_Words,600,138.39,39220,9805,1,0.8,RF,112.78,1.0,0.71,1.0,0.71,1.0,0.71,"[[ 227    5  102  396]
 [  42    9   42  146]
 [ 136    6  805  753]
 [ 509    3  655 5969]]",6.28,all
2018-06-20 20:20,bag_Of_Words,138,61.68,39220,9805,0.1,0.8,RF,45.58,0.97,0.57,0.97,0.66,0.97,0.57,"[[ 258    7  195  270]
 [  39    9   92   99]
 [ 150    6  907  637]
 [ 733   21 1954 4428]]",6.21,all
2018-06-20 20:20,bag_Of_Words,6,29.21,39220,9805,0.25,0.75,RF,14.92,0.7,0.4,0.71,0.6,0.7,0.4,"[[ 271   69  129  261]
 [  80   29   33   97]
 [ 422   90  573  615]
 [1753  568 1769 3046]]",6.35,all
2018-06-20 20:27,bag_Of_Words,600,381.27,39220,10935,1,1.0,MLP,355.48,0.96,0.7,0.96,0.74,0.96,0.7,"[[ 363   55  183  243]
 [  43   44   43   75]
 [ 190   36 1307  505]
 [ 605   97 1257 5889]]",6.27,all
2018-06-20 20:30,bag_Of_Words,138,203.55,39220,10935,0.1,1.0,MLP,186.59,0.88,0.51,0.89,0.67,0.88,0.51,"[[ 389   24  200  231]
 [  54   15   54   82]
 [ 269   29 1274  466]
 [1227   84 2692 3845]]",6.36,all
2018-06-20 20:36,bag_Of_Words,600,380.78,39220,10935,1,0.8,MLP,354.36,0.96,0.65,0.96,0.72,0.96,0.65,"[[ 392   36  178  238]
 [  47   31   36   91]
 [ 239   20 1236  543]
 [ 932   63 1404 5449]]",6.38,all
2018-06-20 20:40,bag_Of_Words,138,207.5,39220,10935,0.1,0.8,MLP,189.32,0.88,0.5,0.88,0.68,0.88,0.5,"[[ 416   23  200  205]
 [  64   11   70   60]
 [ 344   41 1174  479]
 [1429  139 2362 3918]]",7.46,all
2018-06-20 20:42,bag_Of_Words,6,147.1,39220,10935,0.25,0.75,MLP,132.1,0.46,0.29,0.46,0.65,0.46,0.29,"[[ 322  221  204   97]
 [  65   68   33   39]
 [ 486  396  868  288]
 [1860 1644 2388 1956]]",6.29,all
2018-06-20 20:45,bag_Of_Words,600,151.73,39220,10935,1,1.0,RF,122.66,1.0,0.73,1.0,0.76,1.0,0.73,"[[ 362    4  202  276]
 [  61    6   55   83]
 [ 161    0 1318  559]
 [ 448    0 1082 6318]]",7.72,all
2018-06-20 20:46,bag_Of_Words,138,70.01,39220,10935,0.1,1.0,RF,51.7,0.97,0.55,0.97,0.68,0.97,0.55,"[[ 325    1  265  253]
 [  54    1   74   76]
 [ 165    0 1305  568]
 [ 942    1 2566 4339]]",7.23,all
2018-06-20 20:49,bag_Of_Words,600,150.26,39220,10935,1,0.8,RF,122.97,1.0,0.74,1.0,0.77,1.0,0.74,"[[ 421    1  190  232]
 [  58   12   56   79]
 [ 193    0 1384  461]
 [ 573   10 1026 6239]]",6.73,all
2018-06-20 20:50,bag_Of_Words,138,69.2,39220,10935,0.1,0.8,RF,51.74,0.97,0.54,0.97,0.69,0.97,0.54,"[[ 307    0  260  277]
 [  42    1   64   98]
 [ 155    0 1348  535]
 [ 843    0 2717 4288]]",6.82,all
2018-06-20 20:50,bag_Of_Words,6,32.13,39220,10935,0.25,0.75,RF,15.47,0.7,0.42,0.71,0.61,0.7,0.42,"[[ 257  106  170  311]
 [  61   27   46   71]
 [ 457  193  728  660]
 [1453  706 2119 3570]]",7.82,all
