date,executionDesc,textModelFeatures,modelName,loadModelTime,trainDataFormattingTime,trainDataFeatureVecsTime,testDataFormattingTime,testDataFeatureVecsTime,totalExecutionTime,trainInstances,testInstances,modelTrained,modelExecutionTime,trainAccuracy,testAccuracy,confusionMatrix,averagePrecisionSK,recallSK,SMOTE
2018-05-26 09:35,vector_Average,600,300features_15minwords_10contextALL,0.79,4.68,51.1,2.12,10.94,471.02,39220,9805,MLP,387.17,0.9,0.8,"[[ 309   32  152  237]
 [  41   35   30  133]
 [ 206   41 1026  427]
 [ 179   81  362 6514]]",0.8,0.8,all
2018-05-26 09:42,vector_Average,600,300features_15minwords_10contextALL,0.22,5.2,54.14,2.26,11.78,408.37,39220,9805,MLP,321.18,0.88,0.8,"[[ 288   32  132  278]
 [  34   36   27  142]
 [ 223   48  905  524]
 [ 181   54  331 6570]]",0.78,0.8,all
2018-05-26 09:52,vector_Average,600,300features_15minwords_10contextALL,0.21,4.94,51.11,2.39,12.07,568.68,39220,9805,MLP,484.64,0.82,0.75,"[[ 420   48  124  138]
 [  78   62   32   67]
 [ 377  110  960  253]
 [ 516  183  529 5908]]",0.8,0.75,all
2018-05-26 10:00,vector_Average,600,300features_15minwords_10contextALL,0.22,4.92,54.16,2.32,12.29,533.53,39220,9805,MLP,446.78,0.87,0.76,"[[ 324   39  220  147]
 [  43   41   79   76]
 [ 206   75 1165  254]
 [ 195  121  902 5918]]",0.79,0.76,all
2018-05-26 10:09,vector_Average,600,300features_15minwords_10contextALL,0.23,5.14,46.15,2.3,10.42,502.91,39220,9805,MLP,426.02,0.91,0.76,"[[ 362   24  192  152]
 [  61   40   54   84]
 [ 274   58 1116  252]
 [ 309  117  789 5921]]",0.79,0.76,all
2018-05-26 10:17,vector_Average,600,300features_15minwords_10contextALL,0.22,4.79,52.6,2.33,11.82,468.09,39220,9805,MLP,382.93,0.87,0.79,"[[ 316   44  144  226]
 [  35   46   37  121]
 [ 220   60 1013  407]
 [ 222   97  417 6400]]",0.79,0.79,all
2018-05-26 10:24,vector_Average,600,300features_15minwords_10contextALL,0.24,5.11,50.71,2.45,11.09,464.8,39220,9805,MLP,381.57,0.85,0.79,"[[ 333   49  118  230]
 [  50   50   19  120]
 [ 283   67  907  443]
 [ 283   87  345 6421]]",0.79,0.79,all
2018-05-26 10:32,vector_Average,600,300features_15minwords_10contextALL,0.21,4.97,52.18,2.33,12.21,465.19,39220,9805,MLP,379.59,0.78,0.72,"[[ 407   55  115  153]
 [  93   59   18   69]
 [ 371   98  859  372]
 [ 733  171  485 5747]]",0.78,0.72,all
2018-05-26 10:41,vector_Average,600,300features_15minwords_10contextALL,0.21,4.77,51.03,2.42,15.03,534.54,39220,10935,MLP,447.73,0.78,0.76,"[[ 475  174  135   60]
 [  32  117   27   29]
 [ 379  213 1210  236]
 [ 451  182  717 6498]]",0.82,0.76,all
2018-05-26 11:17,vector_Average,600,300features_15minwords_10contextALL,0.33,4.28,50.07,2.17,11.39,473.79,39220,9805,MLP,392.47,0.89,0.78,"[[ 379   41  136  174]
 [  55   44   44   96]
 [ 313   66 1018  303]
 [ 330  102  470 6234]]",0.8,0.78,all
2018-05-26 11:25,vector_Average,600,300features_15minwords_10contextALL,0.19,4.7,49.31,2.29,10.95,465.29,39220,9805,MLP,384.92,0.89,0.81,"[[ 279   27  151  273]
 [  32   40   25  142]
 [ 163   44  969  524]
 [ 134   53  322 6627]]",0.79,0.81,all
2018-05-26 11:32,vector_Average,600,300features_15minwords_10contextALL,0.2,4.66,50.11,2.45,10.82,405.77,39220,9805,MLP,324.09,0.87,0.79,"[[ 303   76  119  232]
 [  35   63   19  122]
 [ 200   85  836  579]
 [ 174  120  286 6556]]",0.79,0.79,all
2018-05-26 11:38,vector_Average,600,300features_15minwords_10contextALL,0.2,4.78,48.11,2.34,10.87,368.44,39220,9805,MLP,288.87,0.87,0.78,"[[ 356   37  102  235]
 [  63   34   19  123]
 [ 338   53  874  435]
 [ 301   93  330 6412]]",0.79,0.78,all
2018-05-26 11:47,vector_Average,600,300features_15minwords_10contextALL,0.21,4.56,48.42,2.24,10.84,552.78,39220,9805,MLP,473.08,0.82,0.76,"[[ 289   54  224  163]
 [  27   68   69   75]
 [ 196   98 1129  277]
 [ 208  141  792 5995]]",0.79,0.76,all
2018-05-26 11:56,vector_Average,600,300features_15minwords_10contextALL,0.21,4.58,48.92,2.44,10.86,551.95,39220,9805,MLP,471.74,0.87,0.75,"[[ 374   53  134  169]
 [  45   69   39   86]
 [ 339  154  952  255]
 [ 405  255  497 5979]]",0.8,0.75,all
2018-05-26 12:06,vector_Average,600,300features_15minwords_10contextALL,0.2,4.42,46.93,2.42,10.72,545.72,39220,9805,MLP,467.47,0.91,0.75,"[[ 395   22  173  140]
 [  50   50   61   78]
 [ 299   53 1121  227]
 [ 406  127  802 5801]]",0.8,0.75,all
2018-05-26 12:14,vector_Average,600,300features_15minwords_10contextALL,0.21,4.82,48.86,2.54,10.79,499.21,39220,9805,MLP,418.65,0.87,0.79,"[[ 341   39  104  246]
 [  45   36   18  140]
 [ 280   48  867  505]
 [ 252   75  287 6522]]",0.79,0.79,all
2018-05-26 12:22,vector_Average,600,300features_15minwords_10contextALL,0.21,4.86,51.48,2.43,11.06,466.19,39220,9805,MLP,382.99,0.85,0.78,"[[ 359   42  143  186]
 [  54   50   35  100]
 [ 263   70 1033  334]
 [ 337  102  474 6223]]",0.8,0.78,all
2018-05-26 12:30,vector_Average,600,300features_15minwords_10contextALL,0.2,4.96,51.23,2.27,11.44,507.06,39220,9805,MLP,423.92,0.77,0.73,"[[ 373   56  134  167]
 [  80   58   25   76]
 [ 287   85  937  391]
 [ 554  169  583 5830]]",0.78,0.73,all
2018-05-26 12:38,vector_Average,600,300features_15minwords_10contextALL,0.2,4.69,51.13,2.55,15.64,477.65,39220,10935,MLP,389.93,0.9,0.86,"[[ 559   69  136   80]
 [  25  102   41   37]
 [ 395   63 1353  227]
 [ 142   21  260 7425]]",0.87,0.86,all
2018-05-26 12:47,vector_Average,600,300features_15minwords_10contextALL,0.21,5.29,50.31,2.43,15.2,512.07,39220,10935,MLP,424.92,0.89,0.85,"[[ 523  118  142   61]
 [  24  113   34   34]
 [ 353  114 1357  214]
 [ 186   43  316 7303]]",0.87,0.85,all
2018-05-26 12:55,vector_Average,600,300features_15minwords_10contextALL,0.22,4.81,53.88,2.72,16.07,469.48,39220,10935,MLP,378.43,0.88,0.84,"[[ 546  108  131   59]
 [  32  107   24   42]
 [ 423  122 1307  186]
 [ 167   52  391 7238]]",0.86,0.84,all
2018-05-26 13:03,vector_Average,600,300features_15minwords_10contextALL,0.21,5.04,51.35,2.62,16.3,530.81,39220,10935,MLP,441.98,0.89,0.86,"[[ 536   81  172   55]
 [  32  106   39   28]
 [ 324   79 1463  172]
 [ 152   37  385 7274]]",0.87,0.86,all
2018-05-26 13:13,vector_Average,600,300features_15minwords_10contextALL,0.2,5.06,52.47,2.68,15.47,596.59,39220,10935,MLP,507.41,0.82,0.84,"[[ 609   90   98   47]
 [  34  112   33   26]
 [ 534  110 1250  144]
 [ 273   37  309 7229]]",0.87,0.84,all
2018-05-26 13:23,vector_Average,600,300features_15minwords_10contextALL,0.21,5.07,51.79,2.82,15.69,602.52,39220,10935,MLP,513.43,0.87,0.86,"[[ 642   61   93   48]
 [  37  106   38   24]
 [ 490   77 1323  148]
 [ 238   41  261 7308]]",0.88,0.86,all
2018-05-26 13:33,vector_Average,600,300features_15minwords_10contextALL,0.22,5.3,53.04,2.54,15.74,598.2,39220,10935,MLP,508.09,0.9,0.88,"[[ 509   96  183   56]
 [  15  113   46   31]
 [ 251   93 1519  175]
 [  76   53  229 7490]]",0.89,0.88,all
