date,executionDesc,textModelFeatures,modelName,modelExecutionTime,trainInstances,testInstances,modelTrained,totalExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,SMOTE
2018-06-17 16:54,vector_Average,600,300features_15minwords_10contextALL,350.65,39220,9805,MLP,431.02,0.89,0.8,0.89,0.8,0.89,0.8,"[[ 312   24  148  246]
 [  41   43   37  118]
 [ 226   49 1037  388]
 [ 192   76  427 6441]]",all
2018-06-17 17:01,vector_Average,600,300features_15minwords_10contextALL,358.62,39220,9805,RF,440.12,1.0,0.8,1.0,0.81,1.0,0.8,"[[ 140    2   47  541]
 [   4   16    6  213]
 [  23    0  654 1023]
 [   5    0   89 7042]]",all
2018-06-17 17:09,vector_Average,600,~/GoogleNews-vectors-negative300.bin,360.36,39220,9805,MLP,484.42,0.97,0.8,0.97,0.79,0.97,0.8,"[[ 369   16  106  239]
 [  52   27   23  137]
 [ 219   38  909  534]
 [ 270   33  317 6516]]",all
2018-06-17 17:18,vector_Average,600,~/GoogleNews-vectors-negative300.bin,357.88,39220,9805,RF,481.85,1.0,0.79,1.0,0.8,1.0,0.79,"[[ 122    3   35  570]
 [   3   13    2  221]
 [  20    2  545 1133]
 [   4    0   65 7067]]",all
2018-06-17 17:25,vector_Average,600,300features_15minwords_10contextALL,371.69,39220,10935,MLP,457.66,0.89,0.85,0.9,0.87,0.89,0.85,"[[ 506   87  197   54]
 [  24  106   47   28]
 [ 308   70 1481  179]
 [ 150   47  428 7223]]",all
2018-06-17 17:33,vector_Average,600,300features_15minwords_10contextALL,355.93,39220,10935,RF,442.96,1.0,0.89,1.0,0.89,1.0,0.89,"[[ 528   15  169  132]
 [  21   81   65   38]
 [ 192   14 1474  358]
 [  21    1  146 7680]]",all
2018-06-17 17:41,vector_Average,600,~/GoogleNews-vectors-negative300.bin,374.59,39220,10935,MLP,494.38,0.96,0.82,0.96,0.85,0.96,0.82,"[[ 588   35  174   47]
 [  44   83   60   18]
 [ 357   40 1474  167]
 [ 376   40  629 6803]]",all
2018-06-17 17:49,vector_Average,600,~/GoogleNews-vectors-negative300.bin,358.2,39220,10935,RF,479.15,1.0,0.85,1.0,0.85,1.0,0.85,"[[ 477   14  165  188]
 [  21   53   63   68]
 [ 188    9 1363  478]
 [  28    1  375 7444]]",all
