date,executionDesc,textModelFeatures,modelName,modelExecutionTime,trainInstances,testInstances,modelTrained,totalExecutionTime,trainAccuracy,testAccuracy,trainPrecision,testPrecision,trainRecall,testRecall,confusionMatrix,SMOTE
2018-06-24 08:46,vector_Average,600,~/GoogleNews-vectors-negative300.bin,318.14,39220,9805,MLP,457.5,0.97,0.79,0.97,0.8,0.97,0.79,"[[ 411   12  100  207]
 [  68   25   35  111]
 [ 331   37  948  384]
 [ 389   33  359 6355]]",all
2018-06-24 09:25,vector_Average,600,~/GoogleNews-vectors-negative300.bin,377.8,39220,9805,MLP,498.3,0.99,0.78,0.99,0.78,0.99,0.78,"[[ 343   18  144  225]
 [  57   31   43  108]
 [ 258   32  968  442]
 [ 339   48  446 6303]]",all
2018-06-24 10:07,vector_Average,600,~/GoogleNews-vectors-negative300.bin,355.57,39220,9805,MLP,476.98,0.8,0.65,0.82,0.8,0.8,0.65,"[[ 568   45   51   66]
 [ 117   73   11   38]
 [ 606  204  690  200]
 [1366  301  473 4996]]",all
2018-06-24 10:26,vector_Average,600,~/GoogleNews-vectors-negative300.bin,346.75,39220,9805,MLP,468.81,0.84,0.73,0.84,0.76,0.84,0.73,"[[ 446   29   73  182]
 [  70   51   15  103]
 [ 348  116  671  565]
 [ 630  143  389 5974]]",all
2018-06-24 10:35,vector_Average,600,~/GoogleNews-vectors-negative300.bin,435.8,39220,9805,MLP,551.19,0.25,0.02,0.06,0.0,0.25,0.02,"[[   0  730    0    0]
 [   0  239    0    0]
 [   0 1700    0    0]
 [   0 7136    0    0]]",all
2018-06-24 11:11,vector_Average,600,~/GoogleNews-vectors-negative300.bin,369.81,39220,9805,MLP,488.33,0.98,0.77,0.98,0.78,0.98,0.77,"[[ 384   21  152  173]
 [  54   28   59   98]
 [ 250   31 1031  388]
 [ 404   72  597 6063]]",all
2018-06-24 11:18,vector_Average,600,~/GoogleNews-vectors-negative300.bin,280.1,39220,9805,MLP,400.03,0.99,0.8,0.99,0.8,0.99,0.8,"[[ 431   16  118  165]
 [  49   36   46  108]
 [ 265   39  932  464]
 [ 336   42  352 6406]]",all
2018-06-24 11:28,vector_Average,600,~/GoogleNews-vectors-negative300.bin,336.63,39220,9805,MLP,456.0,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 300    3  151  276]
 [  32   27   43  137]
 [ 138   12 1113  437]
 [ 123   13  350 6650]]",all
2018-06-24 11:36,vector_Average,600,~/GoogleNews-vectors-negative300.bin,368.02,39220,9805,MLP,486.43,0.99,0.79,0.99,0.79,0.99,0.79,"[[ 348   11  139  232]
 [  60   24   40  115]
 [ 181   30 1027  462]
 [ 280   38  438 6380]]",all
2018-06-24 11:44,vector_Average,600,~/GoogleNews-vectors-negative300.bin,334.28,39220,9805,MLP,452.56,0.83,0.55,0.84,0.72,0.83,0.55,"[[ 275   56  215  184]
 [  69   36   84   50]
 [ 324  108  967  301]
 [1219  317 1519 4081]]",all
2018-06-24 11:55,vector_Average,600,~/GoogleNews-vectors-negative300.bin,335.96,39220,9805,MLP,454.39,0.99,0.8,0.99,0.78,0.99,0.8,"[[ 321   10  119  280]
 [  42   21   21  155]
 [ 142   32  926  600]
 [ 184   37  370 6545]]",all
2018-06-24 12:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,339.22,39220,9805,MLP,454.63,0.99,0.81,0.99,0.79,0.99,0.81,"[[ 284   14  129  303]
 [  33   34   25  147]
 [ 137   29  998  536]
 [  96   38  353 6649]]",all
2018-06-24 12:11,vector_Average,600,~/GoogleNews-vectors-negative300.bin,371.33,39220,9805,MLP,489.23,1.0,0.81,1.0,0.81,1.0,0.81,"[[ 361    2  146  221]
 [  54   20   49  116]
 [ 198   22 1085  395]
 [ 223   16  397 6500]]",all
2018-06-24 12:23,vector_Average,600,~/GoogleNews-vectors-negative300.bin,379.64,39220,9805,MLP,504.19,0.55,0.32,0.53,0.67,0.55,0.32,"[[ 492   60  101   77]
 [ 134   59   14   32]
 [ 478  116  896  210]
 [2508  556 2333 1739]]",all
2018-06-24 13:02,vector_Average,600,~/GoogleNews-vectors-negative300.bin,342.93,39220,9805,MLP,465.69,0.25,0.07,0.06,0.01,0.25,0.07,"[[ 730    0    0    0]
 [ 239    0    0    0]
 [1700    0    0    0]
 [7136    0    0    0]]",all
2018-06-24 15:28,vector_Average,600,~/GoogleNews-vectors-negative300.bin,357.05,39220,9805,MLP,480.58,1.0,0.82,1.0,0.8,1.0,0.82,"[[ 348    6   95  281]
 [  46   26   21  146]
 [ 192   22  913  573]
 [ 156   12  244 6724]]",all
2018-06-24 15:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,358.44,39220,9805,MLP,479.91,1.0,0.83,1.0,0.81,1.0,0.83,"[[ 331    6  114  279]
 [  39   27   42  131]
 [ 134   19  996  551]
 [ 110   21  238 6767]]",all
2018-06-24 16:10,vector_Average,600,~/GoogleNews-vectors-negative300.bin,328.28,39220,9805,MLP,447.71,0.79,0.63,0.79,0.75,0.79,0.63,"[[ 401   49   76  204]
 [  97   51   12   79]
 [ 426   95  799  380]
 [1244  209  716 4967]]",all
2018-06-24 16:18,vector_Average,600,~/GoogleNews-vectors-negative300.bin,363.15,39220,9805,MLP,481.6,0.93,0.77,0.93,0.78,0.93,0.77,"[[ 378   13  108  231]
 [  55   25   32  127]
 [ 248   40  931  481]
 [ 450   28  475 6183]]",all
2018-06-24 16:26,vector_Average,600,~/GoogleNews-vectors-negative300.bin,324.78,39220,9805,MLP,442.88,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 362   10  112  246]
 [  42   28   45  124]
 [ 211   18  989  482]
 [ 158   13  284 6681]]",all
2018-06-24 16:40,vector_Average,600,~/GoogleNews-vectors-negative300.bin,324.98,39220,9805,MLP,444.22,0.84,0.67,0.84,0.75,0.84,0.67,"[[ 414   28   90  198]
 [  74   39   21  105]
 [ 402   60  827  411]
 [1063   83  682 5308]]",all
2018-06-24 16:48,vector_Average,600,~/GoogleNews-vectors-negative300.bin,361.36,39220,9805,MLP,479.76,0.99,0.81,0.99,0.8,0.99,0.81,"[[ 366   16   90  258]
 [  54   26   22  137]
 [ 243   34  971  452]
 [ 243   54  279 6560]]",all
2018-06-24 16:56,vector_Average,600,~/GoogleNews-vectors-negative300.bin,339.64,39220,9805,MLP,459.97,1.0,0.81,1.0,0.79,1.0,0.81,"[[ 275   10   81  364]
 [  38   30   32  139]
 [ 176   28  891  605]
 [ 132   30  272 6702]]",all
2018-06-24 17:03,vector_Average,600,~/GoogleNews-vectors-negative300.bin,341.12,39220,9805,MLP,459.65,0.58,0.25,0.55,0.56,0.58,0.25,"[[ 263   88  246  133]
 [  37   70   93   39]
 [ 371  224  757  348]
 [1846 1022 2950 1318]]",all
2018-06-24 17:17,vector_Average,600,~/GoogleNews-vectors-negative300.bin,380.61,39220,9805,MLP,503.0,1.0,0.82,1.0,0.81,1.0,0.82,"[[ 318   11  114  287]
 [  26   28   35  150]
 [ 157   21  991  531]
 [ 130   13  256 6737]]",all
2018-06-24 17:45,vector_Average,600,~/GoogleNews-vectors-negative300.bin,341.11,39220,9805,MLP,461.02,1.0,0.81,1.0,0.79,1.0,0.81,"[[ 255   10   83  382]
 [  19   29   18  173]
 [ 101   20  829  750]
 [  98   16  177 6845]]",all
2018-06-24 18:34,vector_Average,600,~/GoogleNews-vectors-negative300.bin,379.49,39220,9805,MLP,497.07,0.95,0.73,0.95,0.75,0.95,0.73,"[[ 370   24  113  223]
 [  64   25   14  136]
 [ 279   38  874  509]
 [ 545  135  578 5878]]",all
2018-06-24 18:42,vector_Average,600,~/GoogleNews-vectors-negative300.bin,378.53,39220,9805,MLP,494.8,0.9,0.62,0.9,0.71,0.9,0.62,"[[ 362   45  125  198]
 [  69   33   35  102]
 [ 399   77  742  482]
 [1027  219  995 4895]]",all
2018-06-24 18:51,vector_Average,600,~/GoogleNews-vectors-negative300.bin,380.62,39220,9805,MLP,500.45,0.99,0.8,0.99,0.8,0.99,0.8,"[[ 344   16  180  190]
 [  59   35   55   90]
 [ 199   34 1164  303]
 [ 197   45  619 6275]]",all
2018-06-24 18:58,vector_Average,600,~/GoogleNews-vectors-negative300.bin,340.25,39220,9805,MLP,458.02,0.98,0.78,0.98,0.78,0.98,0.78,"[[ 286   15  154  275]
 [  28   26   62  123]
 [ 171   60 1005  464]
 [ 234   46  511 6345]]",all
2018-06-24 19:26,vector_Average,600,~/GoogleNews-vectors-negative300.bin,358.83,39220,9805,MLP,476.84,0.97,0.78,0.97,0.8,0.97,0.78,"[[ 390   12  102  226]
 [  71   29   33  106]
 [ 352   24  952  372]
 [ 407   33  396 6300]]",all
2018-06-24 19:33,vector_Average,600,~/GoogleNews-vectors-negative300.bin,321.56,39220,9805,MLP,442.19,1.0,0.81,1.0,0.8,1.0,0.81,"[[ 357    7  106  260]
 [  55   22   37  125]
 [ 199   19  979  503]
 [ 234    9  292 6601]]",all
